School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Number of Higher Education studies (HES) with enrolments,Enrolment(s) in VCE Vocational Major (VM) unit(s)​,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Number of students enrolled in an School-based Apprenticeship or Traineeship (SBAT),Number of students enrolled in a Higher Education study (HES),Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over,Number of students awarded the Victorian Pathways Certificate (VPC),SchoolName_clean,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name,Calendar Year,ACARA SML ID_profile,Location AGE ID_profile,School AGE ID_profile,School Name_profile,Suburb_profile,State_profile,Postcode_profile,School Sector_profile,School Type_profile,Campus Type_profile,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43317,77182.0,85203.0,43317,St Joseph's College,LOCHINVAR,NSW,2321,Catholic,Secondary,0,School Single Entity,-32.697761,151.45795,1,Inner Regional,10495362000,10602161516,106021615,Rutherford (North) - Aberglasslyn,10602,Maitland,106,Hunter Valley exc Newcastle,15050,Maitland,10049,Maitland,136,Paterson,2024,45972,41068.0,1068.0,St Joseph's College,Ferntree Gully,VIC,3156,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stjosephs.com.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1047.0,67.0,14.0,35.0,37.0,13.0,89.0,81.1,34.0,27.1,974.0,0.0,974.0,974.0,0.0,3.0,97.0,1.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43317,77182.0,85203.0,43317,St Joseph's College,LOCHINVAR,NSW,2321,Catholic,Secondary,0,School Single Entity,-32.697761,151.45795,1,Inner Regional,10495362000,10602161516,106021615,Rutherford (North) - Aberglasslyn,10602,Maitland,106,Hunter Valley exc Newcastle,15050,Maitland,10049,Maitland,136,Paterson,2024,47854,55651.0,15651.0,St Joseph's College,Brisbane,QLD,4000,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.terrace.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-12,Major Cities,1179.0,98.0,1.0,6.0,21.0,72.0,170.0,142.0,88.0,80.2,1802.0,0.0,1802.0,1802.0,1.0,20.0,80.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43317,77182.0,85203.0,43317,St Joseph's College,LOCHINVAR,NSW,2321,Catholic,Secondary,0,School Single Entity,-32.697761,151.45795,1,Inner Regional,10495362000,10602161516,106021615,Rutherford (North) - Aberglasslyn,10602,Maitland,106,Hunter Valley exc Newcastle,15050,Maitland,10049,Maitland,136,Paterson,2024,47861,57900.0,17900.0,St Joseph's College,Rangeville,QLD,4350,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.sjc.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Inner Regional,1037.0,63.0,16.0,38.0,31.0,16.0,71.0,68.4,43.0,37.1,929.0,484.0,445.0,929.0,5.0,10.0,90.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43317,77182.0,85203.0,43317,St Joseph's College,LOCHINVAR,NSW,2321,Catholic,Secondary,0,School Single Entity,-32.697761,151.45795,1,Inner Regional,10495362000,10602161516,106021615,Rutherford (North) - Aberglasslyn,10602,Maitland,106,Hunter Valley exc Newcastle,15050,Maitland,10049,Maitland,136,Paterson,2024,48860,42712.0,2712.0,St Joseph's College,Albany,WA,6330,Catholic,Combined,School Single Entity,Individual Reporting,http://web.sjc-albany.wa.edu.au,Catholic Education Western Australia,https://www.cewa.edu.au/,PP-12,Outer Regional,1026.0,58.0,23.0,34.0,26.0,17.0,51.0,43.8,34.0,23.2,660.0,336.0,324.0,660.0,4.0,20.0,80.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43317,77182.0,85203.0,43317,St Joseph's College,LOCHINVAR,NSW,2321,Catholic,Secondary,0,School Single Entity,-32.697761,151.45795,1,Inner Regional,10495362000,10602161516,106021615,Rutherford (North) - Aberglasslyn,10602,Maitland,106,Hunter Valley exc Newcastle,15050,Maitland,10049,Maitland,136,Paterson,2024,52499,84937.0,84936.0,St Joseph's College,Coomera,QLD,4209,Catholic,Combined,School Single Entity,Individual Reporting,http://www.stjosephscoomera.qld.edu.au/Pages/default.aspx,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,Prep-12,Major Cities,1040.0,64.0,15.0,36.0,33.0,15.0,88.0,86.2,46.0,39.7,1296.0,671.0,625.0,1296.0,3.0,13.0,87.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43547,53440.0,13440.0,43547,St Joseph's College,BANORA POINT,NSW,2486,Catholic,Secondary,0,School Single Entity,-28.21023974130746,153.53661001574704,0,Major Cities,10777632000,11203155041,112031550,Banora Point,11203,Tweed Valley,112,Richmond - Tweed,17550,Tweed,10082,Tweed,138,Richmond,2024,43317,77182.0,85203.0,St Joseph's College,Lochinvar,NSW,2321,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.lochinvarsj.catholic.edu.au/,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Inner Regional,998.0,46.0,29.0,36.0,25.0,10.0,87.0,80.6,37.0,26.1,941.0,504.0,437.0,940.6,12.0,7.0,93.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43547,53440.0,13440.0,43547,St Joseph's College,BANORA POINT,NSW,2486,Catholic,Secondary,0,School Single Entity,-28.21023974130746,153.53661001574704,0,Major Cities,10777632000,11203155041,112031550,Banora Point,11203,Tweed Valley,112,Richmond - Tweed,17550,Tweed,10082,Tweed,138,Richmond,2024,43547,53440.0,13440.0,St Joseph's College,Banora Point,NSW,2486,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.bpslism.catholic.edu.au,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Major Cities,1046.0,66.0,16.0,32.0,33.0,19.0,97.0,88.4,42.0,31.5,805.0,413.0,392.0,805.0,5.0,8.0,92.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43547,53440.0,13440.0,43547,St Joseph's College,BANORA POINT,NSW,2486,Catholic,Secondary,0,School Single Entity,-28.21023974130746,153.53661001574704,0,Major Cities,10777632000,11203155041,112031550,Banora Point,11203,Tweed Valley,112,Richmond - Tweed,17550,Tweed,10082,Tweed,138,Richmond,2024,43680,41442.0,1442.0,St Joseph's College,Hunters Hill,NSW,2110,Independent,Secondary,School Single Entity,Individual Reporting,http://www.joeys.org/,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Major Cities,1131.0,92.0,3.0,12.0,31.0,55.0,102.0,97.2,137.0,116.3,1081.0,0.0,1081.0,1081.0,4.0,12.0,88.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43547,53440.0,13440.0,43547,St Joseph's College,BANORA POINT,NSW,2486,Catholic,Secondary,0,School Single Entity,-28.21023974130746,153.53661001574704,0,Major Cities,10777632000,11203155041,112031550,Banora Point,11203,Tweed Valley,112,Richmond - Tweed,17550,Tweed,10082,Tweed,138,Richmond,2024,45972,41068.0,1068.0,St Joseph's College,Ferntree Gully,VIC,3156,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stjosephs.com.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1047.0,67.0,14.0,35.0,37.0,13.0,89.0,81.1,34.0,27.1,974.0,0.0,974.0,974.0,0.0,3.0,97.0,1.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43547,53440.0,13440.0,43547,St Joseph's College,BANORA POINT,NSW,2486,Catholic,Secondary,0,School Single Entity,-28.21023974130746,153.53661001574704,0,Major Cities,10777632000,11203155041,112031550,Banora Point,11203,Tweed Valley,112,Richmond - Tweed,17550,Tweed,10082,Tweed,138,Richmond,2024,47854,55651.0,15651.0,St Joseph's College,Brisbane,QLD,4000,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.terrace.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-12,Major Cities,1179.0,98.0,1.0,6.0,21.0,72.0,170.0,142.0,88.0,80.2,1802.0,0.0,1802.0,1802.0,1.0,20.0,80.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43547,53440.0,13440.0,43547,St Joseph's College,BANORA POINT,NSW,2486,Catholic,Secondary,0,School Single Entity,-28.21023974130746,153.53661001574704,0,Major Cities,10777632000,11203155041,112031550,Banora Point,11203,Tweed Valley,112,Richmond - Tweed,17550,Tweed,10082,Tweed,138,Richmond,2024,47861,57900.0,17900.0,St Joseph's College,Rangeville,QLD,4350,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.sjc.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Inner Regional,1037.0,63.0,16.0,38.0,31.0,16.0,71.0,68.4,43.0,37.1,929.0,484.0,445.0,929.0,5.0,10.0,90.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43547,53440.0,13440.0,43547,St Joseph's College,BANORA POINT,NSW,2486,Catholic,Secondary,0,School Single Entity,-28.21023974130746,153.53661001574704,0,Major Cities,10777632000,11203155041,112031550,Banora Point,11203,Tweed Valley,112,Richmond - Tweed,17550,Tweed,10082,Tweed,138,Richmond,2024,48860,42712.0,2712.0,St Joseph's College,Albany,WA,6330,Catholic,Combined,School Single Entity,Individual Reporting,http://web.sjc-albany.wa.edu.au,Catholic Education Western Australia,https://www.cewa.edu.au/,PP-12,Outer Regional,1026.0,58.0,23.0,34.0,26.0,17.0,51.0,43.8,34.0,23.2,660.0,336.0,324.0,660.0,4.0,20.0,80.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43547,53440.0,13440.0,43547,St Joseph's College,BANORA POINT,NSW,2486,Catholic,Secondary,0,School Single Entity,-28.21023974130746,153.53661001574704,0,Major Cities,10777632000,11203155041,112031550,Banora Point,11203,Tweed Valley,112,Richmond - Tweed,17550,Tweed,10082,Tweed,138,Richmond,2024,52499,84937.0,84936.0,St Joseph's College,Coomera,QLD,4209,Catholic,Combined,School Single Entity,Individual Reporting,http://www.stjosephscoomera.qld.edu.au/Pages/default.aspx,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,Prep-12,Major Cities,1040.0,64.0,15.0,36.0,33.0,15.0,88.0,86.2,46.0,39.7,1296.0,671.0,625.0,1296.0,3.0,13.0,87.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43680,41442.0,1442.0,43680,St Joseph's College,HUNTERS HILL,NSW,2110,Independent,Secondary,0,School Single Entity,-33.8304,151.139,0,Major Cities,10386810000,12602149908,126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,14100,Hunters Hill,10043,Lane Cove,132,North Sydney,2024,43317,77182.0,85203.0,St Joseph's College,Lochinvar,NSW,2321,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.lochinvarsj.catholic.edu.au/,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Inner Regional,998.0,46.0,29.0,36.0,25.0,10.0,87.0,80.6,37.0,26.1,941.0,504.0,437.0,940.6,12.0,7.0,93.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43680,41442.0,1442.0,43680,St Joseph's College,HUNTERS HILL,NSW,2110,Independent,Secondary,0,School Single Entity,-33.8304,151.139,0,Major Cities,10386810000,12602149908,126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,14100,Hunters Hill,10043,Lane Cove,132,North Sydney,2024,43547,53440.0,13440.0,St Joseph's College,Banora Point,NSW,2486,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.bpslism.catholic.edu.au,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Major Cities,1046.0,66.0,16.0,32.0,33.0,19.0,97.0,88.4,42.0,31.5,805.0,413.0,392.0,805.0,5.0,8.0,92.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43680,41442.0,1442.0,43680,St Joseph's College,HUNTERS HILL,NSW,2110,Independent,Secondary,0,School Single Entity,-33.8304,151.139,0,Major Cities,10386810000,12602149908,126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,14100,Hunters Hill,10043,Lane Cove,132,North Sydney,2024,43680,41442.0,1442.0,St Joseph's College,Hunters Hill,NSW,2110,Independent,Secondary,School Single Entity,Individual Reporting,http://www.joeys.org/,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Major Cities,1131.0,92.0,3.0,12.0,31.0,55.0,102.0,97.2,137.0,116.3,1081.0,0.0,1081.0,1081.0,4.0,12.0,88.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43680,41442.0,1442.0,43680,St Joseph's College,HUNTERS HILL,NSW,2110,Independent,Secondary,0,School Single Entity,-33.8304,151.139,0,Major Cities,10386810000,12602149908,126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,14100,Hunters Hill,10043,Lane Cove,132,North Sydney,2024,45972,41068.0,1068.0,St Joseph's College,Ferntree Gully,VIC,3156,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stjosephs.com.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1047.0,67.0,14.0,35.0,37.0,13.0,89.0,81.1,34.0,27.1,974.0,0.0,974.0,974.0,0.0,3.0,97.0,1.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43680,41442.0,1442.0,43680,St Joseph's College,HUNTERS HILL,NSW,2110,Independent,Secondary,0,School Single Entity,-33.8304,151.139,0,Major Cities,10386810000,12602149908,126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,14100,Hunters Hill,10043,Lane Cove,132,North Sydney,2024,47854,55651.0,15651.0,St Joseph's College,Brisbane,QLD,4000,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.terrace.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-12,Major Cities,1179.0,98.0,1.0,6.0,21.0,72.0,170.0,142.0,88.0,80.2,1802.0,0.0,1802.0,1802.0,1.0,20.0,80.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43680,41442.0,1442.0,43680,St Joseph's College,HUNTERS HILL,NSW,2110,Independent,Secondary,0,School Single Entity,-33.8304,151.139,0,Major Cities,10386810000,12602149908,126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,14100,Hunters Hill,10043,Lane Cove,132,North Sydney,2024,47861,57900.0,17900.0,St Joseph's College,Rangeville,QLD,4350,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.sjc.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Inner Regional,1037.0,63.0,16.0,38.0,31.0,16.0,71.0,68.4,43.0,37.1,929.0,484.0,445.0,929.0,5.0,10.0,90.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43680,41442.0,1442.0,43680,St Joseph's College,HUNTERS HILL,NSW,2110,Independent,Secondary,0,School Single Entity,-33.8304,151.139,0,Major Cities,10386810000,12602149908,126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,14100,Hunters Hill,10043,Lane Cove,132,North Sydney,2024,48860,42712.0,2712.0,St Joseph's College,Albany,WA,6330,Catholic,Combined,School Single Entity,Individual Reporting,http://web.sjc-albany.wa.edu.au,Catholic Education Western Australia,https://www.cewa.edu.au/,PP-12,Outer Regional,1026.0,58.0,23.0,34.0,26.0,17.0,51.0,43.8,34.0,23.2,660.0,336.0,324.0,660.0,4.0,20.0,80.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,43680,41442.0,1442.0,43680,St Joseph's College,HUNTERS HILL,NSW,2110,Independent,Secondary,0,School Single Entity,-33.8304,151.139,0,Major Cities,10386810000,12602149908,126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,14100,Hunters Hill,10043,Lane Cove,132,North Sydney,2024,52499,84937.0,84936.0,St Joseph's College,Coomera,QLD,4209,Catholic,Combined,School Single Entity,Individual Reporting,http://www.stjosephscoomera.qld.edu.au/Pages/default.aspx,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,Prep-12,Major Cities,1040.0,64.0,15.0,36.0,33.0,15.0,88.0,86.2,46.0,39.7,1296.0,671.0,625.0,1296.0,3.0,13.0,87.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,45972,41068.0,1068.0,45972,St Joseph's College,FERNTREE GULLY,VIC,3156,Catholic,Secondary,0,School Single Entity,-37.89049,145.295093,0,Major Cities,20333050000,21101144814,211011448,Ferntree Gully (South) - Upper Ferntree Gully,21101,Knox,211,Melbourne - Outer East,23670,Knox,25101,Monbulk (Eastern Victoria),201,Aston,2024,43317,77182.0,85203.0,St Joseph's College,Lochinvar,NSW,2321,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.lochinvarsj.catholic.edu.au/,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Inner Regional,998.0,46.0,29.0,36.0,25.0,10.0,87.0,80.6,37.0,26.1,941.0,504.0,437.0,940.6,12.0,7.0,93.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,45972,41068.0,1068.0,45972,St Joseph's College,FERNTREE GULLY,VIC,3156,Catholic,Secondary,0,School Single Entity,-37.89049,145.295093,0,Major Cities,20333050000,21101144814,211011448,Ferntree Gully (South) - Upper Ferntree Gully,21101,Knox,211,Melbourne - Outer East,23670,Knox,25101,Monbulk (Eastern Victoria),201,Aston,2024,43547,53440.0,13440.0,St Joseph's College,Banora Point,NSW,2486,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.bpslism.catholic.edu.au,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Major Cities,1046.0,66.0,16.0,32.0,33.0,19.0,97.0,88.4,42.0,31.5,805.0,413.0,392.0,805.0,5.0,8.0,92.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,45972,41068.0,1068.0,45972,St Joseph's College,FERNTREE GULLY,VIC,3156,Catholic,Secondary,0,School Single Entity,-37.89049,145.295093,0,Major Cities,20333050000,21101144814,211011448,Ferntree Gully (South) - Upper Ferntree Gully,21101,Knox,211,Melbourne - Outer East,23670,Knox,25101,Monbulk (Eastern Victoria),201,Aston,2024,43680,41442.0,1442.0,St Joseph's College,Hunters Hill,NSW,2110,Independent,Secondary,School Single Entity,Individual Reporting,http://www.joeys.org/,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Major Cities,1131.0,92.0,3.0,12.0,31.0,55.0,102.0,97.2,137.0,116.3,1081.0,0.0,1081.0,1081.0,4.0,12.0,88.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,45972,41068.0,1068.0,45972,St Joseph's College,FERNTREE GULLY,VIC,3156,Catholic,Secondary,0,School Single Entity,-37.89049,145.295093,0,Major Cities,20333050000,21101144814,211011448,Ferntree Gully (South) - Upper Ferntree Gully,21101,Knox,211,Melbourne - Outer East,23670,Knox,25101,Monbulk (Eastern Victoria),201,Aston,2024,45972,41068.0,1068.0,St Joseph's College,Ferntree Gully,VIC,3156,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stjosephs.com.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1047.0,67.0,14.0,35.0,37.0,13.0,89.0,81.1,34.0,27.1,974.0,0.0,974.0,974.0,0.0,3.0,97.0,1.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,45972,41068.0,1068.0,45972,St Joseph's College,FERNTREE GULLY,VIC,3156,Catholic,Secondary,0,School Single Entity,-37.89049,145.295093,0,Major Cities,20333050000,21101144814,211011448,Ferntree Gully (South) - Upper Ferntree Gully,21101,Knox,211,Melbourne - Outer East,23670,Knox,25101,Monbulk (Eastern Victoria),201,Aston,2024,47854,55651.0,15651.0,St Joseph's College,Brisbane,QLD,4000,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.terrace.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-12,Major Cities,1179.0,98.0,1.0,6.0,21.0,72.0,170.0,142.0,88.0,80.2,1802.0,0.0,1802.0,1802.0,1.0,20.0,80.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,45972,41068.0,1068.0,45972,St Joseph's College,FERNTREE GULLY,VIC,3156,Catholic,Secondary,0,School Single Entity,-37.89049,145.295093,0,Major Cities,20333050000,21101144814,211011448,Ferntree Gully (South) - Upper Ferntree Gully,21101,Knox,211,Melbourne - Outer East,23670,Knox,25101,Monbulk (Eastern Victoria),201,Aston,2024,47861,57900.0,17900.0,St Joseph's College,Rangeville,QLD,4350,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.sjc.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Inner Regional,1037.0,63.0,16.0,38.0,31.0,16.0,71.0,68.4,43.0,37.1,929.0,484.0,445.0,929.0,5.0,10.0,90.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,45972,41068.0,1068.0,45972,St Joseph's College,FERNTREE GULLY,VIC,3156,Catholic,Secondary,0,School Single Entity,-37.89049,145.295093,0,Major Cities,20333050000,21101144814,211011448,Ferntree Gully (South) - Upper Ferntree Gully,21101,Knox,211,Melbourne - Outer East,23670,Knox,25101,Monbulk (Eastern Victoria),201,Aston,2024,48860,42712.0,2712.0,St Joseph's College,Albany,WA,6330,Catholic,Combined,School Single Entity,Individual Reporting,http://web.sjc-albany.wa.edu.au,Catholic Education Western Australia,https://www.cewa.edu.au/,PP-12,Outer Regional,1026.0,58.0,23.0,34.0,26.0,17.0,51.0,43.8,34.0,23.2,660.0,336.0,324.0,660.0,4.0,20.0,80.0,0.0
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62.3,100,42,4,83,I/D,32,8.8,-,ST JOSEPH'S COLLEGE,45972,41068.0,1068.0,45972,St Joseph's College,FERNTREE GULLY,VIC,3156,Catholic,Secondary,0,School Single Entity,-37.89049,145.295093,0,Major Cities,20333050000,21101144814,211011448,Ferntree Gully (South) - Upper Ferntree Gully,21101,Knox,211,Melbourne - Outer East,23670,Knox,25101,Monbulk (Eastern Victoria),201,Aston,2024,52499,84937.0,84936.0,St Joseph's College,Coomera,QLD,4209,Catholic,Combined,School Single Entity,Individual Reporting,http://www.stjosephscoomera.qld.edu.au/Pages/default.aspx,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,Prep-12,Major Cities,1040.0,64.0,15.0,36.0,33.0,15.0,88.0,86.2,46.0,39.7,1296.0,671.0,625.0,1296.0,3.0,13.0,87.0,0.0
