School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over,Statistical Area 2,Statistical Area 2 Name
Nhill College,Nhill College,NHILL,VIC,-36.33260253,141.65886004,942.0,22.0,224.0,3.0,23.0,23,0,215011390.0,Nhill Region
Noble Park Secondary College,Noble Park Secondary College,NOBLE PARK,VIC,-37.970209,145.182369,933.0,18.0,541.0,0.0,88.0,25,0.5,212041459.0,Noble Park - East
Northcote High School,Northcote High School,NORTHCOTE,VIC,-37.774156,144.989706,1151.0,95.0,1739.0,0.0,25.0,30,8.5,206021500.0,Northcote - West
Northern Bay P-12 College,Northern Bay P-12 College,CORIO,VIC,-38.079288,144.355525,877.0,7.0,1831.0,9.0,36.0,24,2.2,203021486.0,Corio - Lovely Banks
Northside Christian College,Northside Christian College,BUNDOORA,VIC,-37.69501422,145.0546707,1100.0,84.0,612.0,0.0,45.0,30,13.1,209041217.0,Bundoora - West
Northside Christian College,Northside Christian College,BUNDOORA,VIC,-37.69501422,145.0546707,1145.0,95.0,1245.0,0.0,33.0,30,13.1,209041217.0,Bundoora - West
Northside Christian College,Northside Christian College,EVERTON PARK,QLD,-27.394113,152.990819,1100.0,84.0,612.0,0.0,45.0,30,13.1,209041217.0,Bundoora - West
Northside Christian College,Northside Christian College,EVERTON PARK,QLD,-27.394113,152.990819,1145.0,95.0,1245.0,0.0,33.0,30,13.1,209041217.0,Bundoora - West
Norwood Secondary College,Norwood Secondary College,RINGWOOD,VIC,-37.800473,145.238246,1047.0,67.0,1058.0,1.0,10.0,29,5.7,211031266.0,Ringwood
Nossal High School,Nossal High School,BERWICK,VIC,-38.03906593,145.33631372,1144.0,94.0,828.0,0.0,91.0,36,27.6,212021293.0,Berwick - North
Notre Dame College,Notre Dame College,SHEPPARTON,VIC,-36.37470646,145.40763629,1028.0,59.0,1649.0,3.0,12.0,28,4.1,216031416.0,Shepparton - North
Notre Dame College,Notre Dame College,SHEPPARTON,VIC,-36.37470646,145.40763629,,,,,,28,4.1,216031416.0,Shepparton - North
Notre Dame College,Notre Dame College,BELLS CREEK,QLD,-26.8170537081985,153.064525126801,1028.0,59.0,1649.0,3.0,12.0,28,4.1,216031416.0,Shepparton - North
Notre Dame College,Notre Dame College,BELLS CREEK,QLD,-26.8170537081985,153.064525126801,,,,,,28,4.1,216031416.0,Shepparton - North
Numurkah Secondary College,Numurkah Secondary College,NUMURKAH,VIC,-36.079948,145.446271,928.0,17.0,250.0,9.0,2.0,24,0,216021413.0,Numurkah
Oakleigh Grammar,Oakleigh Grammar,OAKLEIGH,VIC,-37.895907,145.082819,1082.0,79.0,694.0,0.0,80.0,31,4.7,208021180.0,Hughesdale
Oakwood School,Oakwood School,CAULFIELD NORTH,VIC,-37.87398,145.034173,974.0,35.0,570.0,4.0,6.0,I/D,I/D,208021177.0,Caulfield - North
Oberon High School,Oberon High School,OBERON,NSW,-33.701691,149.861132,924.0,16.0,197.0,14.0,10.0,28,4,203031489.0,Barwon Heads - Armstrong Creek
Oberon High School,Oberon High School,OBERON,NSW,-33.701691,149.861132,1027.0,59.0,1048.0,2.0,14.0,28,4,203031489.0,Barwon Heads - Armstrong Creek
Oberon High School,Oberon High School,Armstrong Creek,VIC,-38.23066802,144.3640703,924.0,16.0,197.0,14.0,10.0,28,4,203031489.0,Barwon Heads - Armstrong Creek
Oberon High School,Oberon High School,Armstrong Creek,VIC,-38.23066802,144.3640703,1027.0,59.0,1048.0,2.0,14.0,28,4,203031489.0,Barwon Heads - Armstrong Creek
Officer Secondary College,Officer Secondary College,OFFICER,VIC,-38.06970435,145.41146304,1011.0,52.0,985.0,2.0,32.0,28,4.2,212011546.0,Beaconsfield - Officer
OneSchool Global Vic,OneSchool Global Vic,MELTON WEST,VIC,-37.6863089083551,144.54225576943,983.0,39.0,541.0,0.0,0.0,31,7.6,213041358.0,Melton West
Our Lady of Mercy College,Our Lady of Mercy College,HEIDELBERG,VIC,-37.75793,145.067586,1105.0,85.0,1178.0,0.0,28.0,32,9.6,209011198.0,Heidelberg - Rosanna
Our Lady of Mercy College,Our Lady of Mercy College,HEIDELBERG,VIC,-37.75793,145.067586,1020.0,56.0,941.0,3.0,10.0,32,9.6,209011198.0,Heidelberg - Rosanna
Our Lady of Mercy College,Our Lady of Mercy College,AUSTRALIND,WA,-33.269,115.7482,1105.0,85.0,1178.0,0.0,28.0,32,9.6,209011198.0,Heidelberg - Rosanna
Our Lady of Mercy College,Our Lady of Mercy College,AUSTRALIND,WA,-33.269,115.7482,1020.0,56.0,941.0,3.0,10.0,32,9.6,209011198.0,Heidelberg - Rosanna
Our Lady of Sion College,Our Lady of Sion College,BOX HILL,VIC,-37.8184,145.13,1102.0,85.0,914.0,0.0,7.0,32,7.8,207031163.0,Box Hill
Ouyen P-12 College,Ouyen P-12 College,OUYEN,VIC,-35.064571,142.322608,952.0,25.0,189.0,6.0,5.0,29,0,215021398.0,Mildura Surrounds
Oxley Christian College,Oxley Christian College,CHIRNSIDE PARK,VIC,-37.76293666,145.3043162,1115.0,88.0,827.0,1.0,57.0,34,21.9,211051275.0,Chirnside Park
Ozford College,Ozford College,MELBOURNE,VIC,-37.8105640957415,144.968596468401,1053.0,69.0,146.0,0.0,100.0,20,0,206041503.0,Melbourne CBD - East
Padua College,Padua College,MORNINGTON,VIC,-38.2182566625499,145.07200429078,1063.0,73.0,2529.0,1.0,4.0,29,4.6,214021591.0,Mornington - East
Padua College,Padua College,MORNINGTON,VIC,-38.2182566625499,145.07200429078,1118.0,89.0,1528.0,1.0,8.0,29,4.6,214021591.0,Mornington - East
Padua College,Padua College,KEDRON,QLD,-27.407445,153.025007,1063.0,73.0,2529.0,1.0,4.0,29,4.6,214021591.0,Mornington - East
Padua College,Padua College,KEDRON,QLD,-27.407445,153.025007,1118.0,89.0,1528.0,1.0,8.0,29,4.6,214021591.0,Mornington - East
Pakenham Secondary College,Pakenham Secondary College,PAKENHAM,VIC,-38.06907933,145.47110079,959.0,28.0,918.0,3.0,27.0,27,1.2,212011552.0,Pakenham - South West
Parade College,Parade College,BUNDOORA,VIC,-37.690178,145.066978,1080.0,79.0,1927.0,1.0,18.0,30,4.8,209011196.0,Bundoora - East
Parkdale Secondary College,Parkdale Secondary College,MORDIALLOC,VIC,-37.989637,145.094101,1067.0,75.0,1526.0,1.0,17.0,30,5.9,208031193.0,Mordialloc - Parkdale
Parkville College,Parkville College,PARKVILLE,VIC,-37.778764,144.942622,,,,,,-,-,206041124.0,Parkville
Peninsula Grammar,Peninsula Grammar,MOUNT ELIZA,VIC,-38.198174,145.090692,1121.0,89.0,1268.0,1.0,9.0,33,15.1,214021381.0,Mount Eliza
Penola Catholic College,Penola Catholic College,BROADMEADOWS,VIC,-37.6888,144.92,995.0,45.0,1448.0,1.0,41.0,28,3.1,210051242.0,Broadmeadows
Peter Lalor Secondary College,Peter Lalor Secondary College,LALOR,VIC,-37.6684189427748,145.013932861792,977.0,37.0,120.0,7.0,27.0,-,-,209041530.0,Lalor - West
Plenty River College,Plenty River College,SOUTH MORANG,VIC,-37.64856605,145.0815677,1017.0,54.0,56.0,0.0,2.0,-,-,209041436.0,South Morang - South
Plenty Valley Christian College,Plenty Valley Christian College,DOREEN,VIC,-37.613463,145.138791,1111.0,87.0,853.0,0.0,27.0,29,5.1,209031212.0,Panton Hill - St Andrews
Portland Secondary College,Portland Secondary College,PORTLAND,VIC,-38.35882225,141.59550333,940.0,21.0,527.0,8.0,3.0,24,0.4,217011422.0,Portland
Prahran High School,Prahran High School,WINDSOR,VIC,-37.851621,144.991306,1087.0,81.0,580.0,1.0,44.0,30,5.3,206061136.0,Prahran - Windsor
Presbyterian Ladies' College,Presbyterian Ladies' College,BURWOOD,VIC,-37.848946,145.107125,1207.0,99.0,1549.0,0.0,71.0,36,25.9,207031165.0,Burwood (Vic.)
Presbyterian Ladies' College,Presbyterian Ladies' College,BURWOOD,VIC,-37.848946,145.107125,1148.0,95.0,957.0,5.0,9.0,36,25.9,207031165.0,Burwood (Vic.)
Presbyterian Ladies' College,Presbyterian Ladies' College,PEPPERMINT GROVE,WA,-31.99433732,115.7675942,1207.0,99.0,1549.0,0.0,71.0,36,25.9,207031165.0,Burwood (Vic.)
Presbyterian Ladies' College,Presbyterian Ladies' College,PEPPERMINT GROVE,WA,-31.99433732,115.7675942,1148.0,95.0,957.0,5.0,9.0,36,25.9,207031165.0,Burwood (Vic.)
Preston High School,Preston High School,PRESTON,VIC,-37.740967,145.006408,1108.0,86.0,1133.0,2.0,29.0,29,4.7,209021428.0,Preston - East
Pyramid Hill College,Pyramid Hill College,PYRAMID HILL,VIC,-36.04736,144.113679,975.0,35.0,101.0,7.0,21.0,I/D,I/D,202031033.0,Loddon
Rainbow P-12 College,Rainbow P-12 College,RAINBOW,VIC,-35.89446757,141.99669972,979.0,37.0,114.0,0.0,9.0,24,2.9,215011390.0,Nhill Region
Red Cliffs Secondary College,Red Cliffs Secondary College,RED CLIFFS,VIC,-34.298804,142.195452,906.0,12.0,360.0,16.0,3.0,23,0,215021399.0,Red Cliffs
Red Rock Christian College,Red Rock Christian College,SUNBURY,VIC,-37.5191,144.706,1061.0,73.0,193.0,2.0,20.0,27,0,210041240.0,Sunbury
Reservoir High School,Reservoir High School,RESERVOIR,VIC,-37.722259,145.029772,990.0,42.0,633.0,7.0,56.0,28,3.8,209021525.0,Reservoir - South East
Richmond High School,Richmond High School,RICHMOND,NSW,-33.600535,150.746715,980.0,38.0,725.0,14.0,25.0,28,6.2,206071518.0,Richmond - North
Richmond High School,Richmond High School,RICHMOND,NSW,-33.600535,150.746715,1063.0,73.0,535.0,1.0,42.0,28,6.2,206071518.0,Richmond - North
Richmond High School,Richmond High School,RICHMOND,VIC,-37.817503,145.002623,980.0,38.0,725.0,14.0,25.0,28,6.2,206071518.0,Richmond - North
Richmond High School,Richmond High School,RICHMOND,VIC,-37.817503,145.002623,1063.0,73.0,535.0,1.0,42.0,28,6.2,206071518.0,Richmond - North
Ringwood Secondary College,Ringwood Secondary College,RINGWOOD,VIC,-37.816606,145.239147,1047.0,67.0,1530.0,1.0,35.0,30,7.9,211031266.0,Ringwood
River Nile School,River Nile School,NORTH MELBOURNE,VIC,-37.805092,144.955013,806.0,3.0,107.0,0.0,99.0,-,-,206041506.0,North Melbourne
Robinvale College,Robinvale College,ROBINVALE,VIC,-34.58888676,142.78154505,832.0,4.0,239.0,38.0,37.0,23,0,215031403.0,Robinvale
Rochester Secondary College,Rochester Secondary College,ROCHESTER,VIC,-36.35277863,144.69869634,962.0,29.0,314.0,6.0,4.0,27,0.9,216011409.0,Rochester
Rosebud Secondary College,Rosebud Secondary College,ROSEBUD,VIC,-38.367615,144.887447,982.0,39.0,896.0,3.0,5.0,27,2.2,214021384.0,Rosebud - McCrae
Rosehill Secondary College,Rosehill Secondary College,NIDDRIE,VIC,-37.7473,144.886,1025.0,58.0,1118.0,1.0,37.0,29,1.7,210011230.0,Niddrie - Essendon West
Rowville Secondary College,Rowville Secondary College,ROWVILLE,VIC,-37.92388682,145.23708852,1025.0,58.0,1832.0,1.0,16.0,25,2.1,211011256.0,Rowville - Central
Roxburgh College,Roxburgh College,ROXBURGH PARK,VIC,-37.63062884,144.92945915,919.0,15.0,1084.0,1.0,82.0,23,0.7,210051544.0,Roxburgh Park (South) - Somerton
Rushworth P-12 College,Rushworth P-12 College,RUSHWORTH,VIC,-36.583317,145.014399,887.0,8.0,153.0,16.0,3.0,-,-,216011410.0,Rushworth
Rutherglen High School,Rutherglen High School,RUTHERGLEN,VIC,-36.062564,146.452103,965.0,31.0,312.0,5.0,2.0,21,0,204021065.0,Rutherglen
Ruyton Girls' School,Ruyton Girls' School,KEW,VIC,-37.81119789,145.0388602,1201.0,99.0,860.0,0.0,41.0,37,30.2,207011521.0,Kew - South
Sacre Coeur,Sacre Coeur,GLEN IRIS,VIC,-37.86151677,145.05261988,1174.0,98.0,677.0,0.0,31.0,35,24.6,208041194.0,Malvern - Glen Iris
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1020.0,56.0,933.0,5.0,19.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1020.0,56.0,933.0,5.0,19.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1020.0,56.0,933.0,5.0,19.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1082.0,79.0,1951.0,2.0,5.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1082.0,79.0,1951.0,2.0,5.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1082.0,79.0,1951.0,2.0,5.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1098.0,84.0,1442.0,1.0,6.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1098.0,84.0,1442.0,1.0,6.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1098.0,84.0,1442.0,1.0,6.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1072.0,76.0,846.0,1.0,3.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1072.0,76.0,846.0,1.0,3.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1072.0,76.0,846.0,1.0,3.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1020.0,56.0,252.0,1.0,3.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1020.0,56.0,252.0,1.0,3.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1020.0,56.0,252.0,1.0,3.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1114.0,88.0,1487.0,1.0,5.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1114.0,88.0,1487.0,1.0,5.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEW TOWN,TAS,-42.86218,147.304645,1114.0,88.0,1487.0,1.0,5.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1020.0,56.0,933.0,5.0,19.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1020.0,56.0,933.0,5.0,19.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1020.0,56.0,933.0,5.0,19.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1082.0,79.0,1951.0,2.0,5.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1082.0,79.0,1951.0,2.0,5.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1082.0,79.0,1951.0,2.0,5.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1098.0,84.0,1442.0,1.0,6.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1098.0,84.0,1442.0,1.0,6.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1098.0,84.0,1442.0,1.0,6.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1072.0,76.0,846.0,1.0,3.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1072.0,76.0,846.0,1.0,3.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1072.0,76.0,846.0,1.0,3.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1020.0,56.0,252.0,1.0,3.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1020.0,56.0,252.0,1.0,3.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1020.0,56.0,252.0,1.0,3.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1114.0,88.0,1487.0,1.0,5.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1114.0,88.0,1487.0,1.0,5.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,NEWTOWN,VIC,-38.14949635,144.34014532,1114.0,88.0,1487.0,1.0,5.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1020.0,56.0,933.0,5.0,19.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1020.0,56.0,933.0,5.0,19.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1020.0,56.0,933.0,5.0,19.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1082.0,79.0,1951.0,2.0,5.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1082.0,79.0,1951.0,2.0,5.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1082.0,79.0,1951.0,2.0,5.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1098.0,84.0,1442.0,1.0,6.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1098.0,84.0,1442.0,1.0,6.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1098.0,84.0,1442.0,1.0,6.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1072.0,76.0,846.0,1.0,3.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1072.0,76.0,846.0,1.0,3.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1072.0,76.0,846.0,1.0,3.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1020.0,56.0,252.0,1.0,3.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1020.0,56.0,252.0,1.0,3.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1020.0,56.0,252.0,1.0,3.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1114.0,88.0,1487.0,1.0,5.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1114.0,88.0,1487.0,1.0,5.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,KYNETON,VIC,-37.252887,144.458821,1114.0,88.0,1487.0,1.0,5.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1020.0,56.0,933.0,5.0,19.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1020.0,56.0,933.0,5.0,19.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1020.0,56.0,933.0,5.0,19.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1082.0,79.0,1951.0,2.0,5.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1082.0,79.0,1951.0,2.0,5.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1082.0,79.0,1951.0,2.0,5.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1098.0,84.0,1442.0,1.0,6.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1098.0,84.0,1442.0,1.0,6.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1098.0,84.0,1442.0,1.0,6.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1072.0,76.0,846.0,1.0,3.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1072.0,76.0,846.0,1.0,3.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1072.0,76.0,846.0,1.0,3.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1020.0,56.0,252.0,1.0,3.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1020.0,56.0,252.0,1.0,3.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1020.0,56.0,252.0,1.0,3.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1114.0,88.0,1487.0,1.0,5.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1114.0,88.0,1487.0,1.0,5.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,YARRAWONGA,VIC,-36.008887,146.009947,1114.0,88.0,1487.0,1.0,5.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1020.0,56.0,933.0,5.0,19.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1020.0,56.0,933.0,5.0,19.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1020.0,56.0,933.0,5.0,19.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1082.0,79.0,1951.0,2.0,5.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1082.0,79.0,1951.0,2.0,5.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1082.0,79.0,1951.0,2.0,5.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1098.0,84.0,1442.0,1.0,6.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1098.0,84.0,1442.0,1.0,6.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1098.0,84.0,1442.0,1.0,6.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1072.0,76.0,846.0,1.0,3.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1072.0,76.0,846.0,1.0,3.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1072.0,76.0,846.0,1.0,3.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1020.0,56.0,252.0,1.0,3.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1020.0,56.0,252.0,1.0,3.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1020.0,56.0,252.0,1.0,3.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1114.0,88.0,1487.0,1.0,5.0,27,1.2,203021046.0,Newtown (Vic.)
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1114.0,88.0,1487.0,1.0,5.0,27,1.2,202021030.0,Kyneton
Sacred Heart College,Sacred Heart College,SORRENTO,WA,-31.82737,115.74657,1114.0,88.0,1487.0,1.0,5.0,27,1.2,216021414.0,Yarrawonga
Sacred Heart Girls' College,Sacred Heart Girls' College,OAKLEIGH,VIC,-37.902163,145.086083,1100.0,84.0,951.0,0.0,64.0,32,10.6,208021180.0,Hughesdale
Sale College,Sale College,SALE,VIC,-38.108921,147.068006,941.0,21.0,766.0,8.0,8.0,24,0.7,205051103.0,Sale
Salesian College Sunbury,Salesian College Sunbury,SUNBURY,VIC,-37.572644,144.73903,1057.0,71.0,1637.0,0.0,4.0,27,1.2,210041240.0,Sunbury
Sandringham College,Sandringham College,SANDRINGHAM,VIC,-37.9566838,145.02334835,1108.0,86.0,1042.0,1.0,18.0,31,6.9,208011173.0,Sandringham - Black Rock
Santa Maria College,Santa Maria College,NORTHCOTE,VIC,-37.770356,145.00248,1111.0,87.0,772.0,0.0,9.0,30,8.9,206021499.0,Northcote - East
