School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over,Statistical Area 2,Statistical Area 2 Name
Collingwood College,Collingwood College,COLLINGWOOD,VIC,-37.802985,144.990497,1039.0,64.0,723.0,2.0,47.0,28,4,206071141.0,Collingwood
Copperfield College,Copperfield College,DELAHEY,VIC,-37.719607,144.772454,955.0,26.0,1909.0,1.0,59.0,27,2.1,213011331.0,Delahey
Cornish College,Cornish College,BANGHOLME,VIC,-38.048641,145.150451,1104.0,85.0,668.0,0.0,8.0,30,6.8,212041566.0,Keysborough - South
Corryong College,Corryong College,CORRYONG,VIC,-36.192938,147.910757,964.0,30.0,272.0,5.0,3.0,31,5.6,204031072.0,Towong
Covenant College,Covenant College,BELL POST HILL,VIC,-38.0976,144.318015,1067.0,75.0,717.0,1.0,12.0,29,3,203021047.0,North Geelong - Bell Park
Craigieburn Secondary College,Craigieburn Secondary College,CRAIGIEBURN,VIC,-37.60861754,144.93558169,921.0,15.0,1027.0,1.0,69.0,21,0.7,210051443.0,Craigieburn - South
Cranbourne Secondary College,Cranbourne Secondary College,CRANBOURNE,VIC,-38.108126,145.286641,931.0,18.0,1203.0,2.0,50.0,24,0.3,212031300.0,Cranbourne
Croydon Community School,Croydon Community School,CROYDON,VIC,-37.7893876,145.2807261,983.0,39.0,157.0,9.0,3.0,-,-,211031451.0,Croydon - West
Damascus College,Damascus College,MOUNT CLEAR,VIC,-37.611456,143.870347,1056.0,70.0,1193.0,1.0,2.0,29,3.7,201011483.0,Canadian - Mount Clear
Dandenong High School,Dandenong High School,DANDENONG,VIC,-37.979418,145.209011,896.0,10.0,1404.0,1.0,91.0,25,1.7,212041563.0,Dandenong - North
Darul Ulum College of Victoria,Darul Ulum College of Victoria,FAWKNER,VIC,-37.705621,144.971191,1011.0,52.0,1548.0,0.0,100.0,31,7.3,210031237.0,Fawkner
Daylesford Secondary College,Daylesford Secondary College,DAYLESFORD,VIC,-37.33466597,144.15185097,1007.0,50.0,476.0,3.0,5.0,29,3.5,201021011.0,Daylesford
De La Salle College,De La Salle College,MALVERN,VIC,-37.857677,145.032183,1124.0,90.0,944.0,0.0,8.0,30,5,208041194.0,Malvern - Glen Iris
Diamond Valley College,Diamond Valley College,DIAMOND CREEK,VIC,-37.672433,145.167704,1024.0,58.0,817.0,2.0,6.0,25,0.7,209031215.0,Wattle Glen - Diamond Creek
Divrei Emineh,Divrei Emineh,ELSTERNWICK,VIC,-37.903565,145.035018,932.0,18.0,163.0,0.0,92.0,-,-,208021182.0,Ormond - Glen Huntly
Donald High School,Donald High School,DONALD,VIC,-36.370594,142.977163,972.0,34.0,97.0,7.0,8.0,29,8.3,215031400.0,Buloke
Doncaster Secondary College,Doncaster Secondary College,DONCASTER,VIC,-37.784581,145.138053,1064.0,74.0,1180.0,0.0,31.0,32,13,207021157.0,Doncaster
