School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over
Charles La Trobe P-12 College,Charles La Trobe P-12 College,MACLEOD WEST,VIC,-37.72915436,145.05979101,940.0,21.0,770.0,16.0,47.0,-,-
Charles La Trobe P-12 College,Charles La Trobe P-12 College,MACLEOD WEST,VIC,-37.72915436,145.05979101,940.0,21.0,770.0,16.0,47.0,24,0
Charlton College,Charlton College,CHARLTON,VIC,-36.270312,143.359633,973.0,35.0,132.0,4.0,6.0,30,1.6
Cheltenham Secondary College,Cheltenham Secondary College,CHELTENHAM,VIC,-37.953335,145.068585,1054.0,70.0,858.0,1.0,41.0,28,2.1
Cire Community School,Cire Community School,LILYDALE,VIC,-37.7571569719824,145.343976995644,986.0,40.0,482.0,4.0,1.0,-,-
Clonard College,Clonard College,HERNE HILL,VIC,-38.129766,144.33003,1049.0,68.0,939.0,2.0,7.0,29,5.4
Cobden Technical School,Cobden Technical School,COBDEN,VIC,-38.32403633,143.06360586,922.0,15.0,107.0,8.0,3.0,24,0
Cobram Anglican Grammar School,Cobram Anglican Grammar School,COBRAM,VIC,-35.924283,145.660055,1010.0,51.0,392.0,2.0,16.0,26,1.1
Cobram Secondary College,Cobram Secondary College,COBRAM,VIC,-35.913605,145.654121,952.0,25.0,440.0,6.0,5.0,24,0.9
Coburg High School,Coburg High School,COBURG,VIC,-37.740781,144.972778,1099.0,84.0,1275.0,1.0,23.0,30,8
Cohuna Secondary College,Cohuna Secondary College,COHUNA,VIC,-35.813503,144.226425,970.0,33.0,173.0,2.0,5.0,28,4.2
Colac Secondary College,Colac Secondary College,COLAC,VIC,-38.35149548,143.59010207,952.0,25.0,471.0,2.0,3.0,23,0
Collingwood College,Collingwood College,COLLINGWOOD,VIC,-37.802985,144.990497,1039.0,64.0,723.0,2.0,47.0,28,4
Copperfield College,Copperfield College,DELAHEY,VIC,-37.719607,144.772454,955.0,26.0,1909.0,1.0,59.0,27,2.1
Cornish College,Cornish College,BANGHOLME,VIC,-38.048641,145.150451,1104.0,85.0,668.0,0.0,8.0,30,6.8
Corryong College,Corryong College,CORRYONG,VIC,-36.192938,147.910757,964.0,30.0,272.0,5.0,3.0,31,5.6
Covenant College,Covenant College,BELL POST HILL,VIC,-38.0976,144.318015,1067.0,75.0,717.0,1.0,12.0,29,3
