School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over
St Mary's College,St Mary's College,TOOWOOMBA,QLD,-27.56047,151.942911,1021.0,56.0,305.0,8.0,8.0,36,37.5
St Mary's College,St Mary's College,TOOWOOMBA,QLD,-27.56047,151.942911,839.0,4.0,750.0,61.0,56.0,36,37.5
St Mary's College,St Mary's College,TOOWOOMBA,QLD,-27.56047,151.942911,1078.0,78.0,688.0,1.0,15.0,36,37.5
St Mary's College,St Mary's College,IPSWICH,QLD,-27.609713,152.755191,1059.0,72.0,945.0,5.0,10.0,36,37.5
St Mary's College,St Mary's College,IPSWICH,QLD,-27.609713,152.755191,980.0,38.0,415.0,14.0,3.0,36,37.5
St Mary's College,St Mary's College,IPSWICH,QLD,-27.609713,152.755191,1008.0,51.0,561.0,5.0,8.0,36,37.5
St Mary's College,St Mary's College,IPSWICH,QLD,-27.609713,152.755191,1023.0,57.0,883.0,7.0,10.0,36,37.5
St Mary's College,St Mary's College,IPSWICH,QLD,-27.609713,152.755191,1036.0,62.0,706.0,5.0,7.0,36,37.5
St Mary's College,St Mary's College,IPSWICH,QLD,-27.609713,152.755191,1021.0,56.0,305.0,8.0,8.0,36,37.5
St Mary's College,St Mary's College,IPSWICH,QLD,-27.609713,152.755191,839.0,4.0,750.0,61.0,56.0,36,37.5
St Mary's College,St Mary's College,IPSWICH,QLD,-27.609713,152.755191,1078.0,78.0,688.0,1.0,15.0,36,37.5
St Mary's College,St Mary's College,MARYBOROUGH,QLD,-25.54298,152.696613,1059.0,72.0,945.0,5.0,10.0,36,37.5
St Mary's College,St Mary's College,MARYBOROUGH,QLD,-25.54298,152.696613,980.0,38.0,415.0,14.0,3.0,36,37.5
St Mary's College,St Mary's College,MARYBOROUGH,QLD,-25.54298,152.696613,1008.0,51.0,561.0,5.0,8.0,36,37.5
St Mary's College,St Mary's College,MARYBOROUGH,QLD,-25.54298,152.696613,1023.0,57.0,883.0,7.0,10.0,36,37.5
St Mary's College,St Mary's College,MARYBOROUGH,QLD,-25.54298,152.696613,1036.0,62.0,706.0,5.0,7.0,36,37.5
St Mary's College,St Mary's College,MARYBOROUGH,QLD,-25.54298,152.696613,1021.0,56.0,305.0,8.0,8.0,36,37.5
St Mary's College,St Mary's College,MARYBOROUGH,QLD,-25.54298,152.696613,839.0,4.0,750.0,61.0,56.0,36,37.5
St Mary's College,St Mary's College,MARYBOROUGH,QLD,-25.54298,152.696613,1078.0,78.0,688.0,1.0,15.0,36,37.5
St Mary's College,St Mary's College,BROOME,WA,-17.961073,122.222487,1059.0,72.0,945.0,5.0,10.0,36,37.5
St Mary's College,St Mary's College,BROOME,WA,-17.961073,122.222487,980.0,38.0,415.0,14.0,3.0,36,37.5
St Mary's College,St Mary's College,BROOME,WA,-17.961073,122.222487,1008.0,51.0,561.0,5.0,8.0,36,37.5
St Mary's College,St Mary's College,BROOME,WA,-17.961073,122.222487,1023.0,57.0,883.0,7.0,10.0,36,37.5
St Mary's College,St Mary's College,BROOME,WA,-17.961073,122.222487,1036.0,62.0,706.0,5.0,7.0,36,37.5
St Mary's College,St Mary's College,BROOME,WA,-17.961073,122.222487,1021.0,56.0,305.0,8.0,8.0,36,37.5
St Mary's College,St Mary's College,BROOME,WA,-17.961073,122.222487,839.0,4.0,750.0,61.0,56.0,36,37.5
St Mary's College,St Mary's College,BROOME,WA,-17.961073,122.222487,1078.0,78.0,688.0,1.0,15.0,36,37.5
St Mary's College,St Mary's College,ADELAIDE,SA,-34.9281,138.589,1059.0,72.0,945.0,5.0,10.0,36,37.5
St Mary's College,St Mary's College,ADELAIDE,SA,-34.9281,138.589,980.0,38.0,415.0,14.0,3.0,36,37.5
St Mary's College,St Mary's College,ADELAIDE,SA,-34.9281,138.589,1008.0,51.0,561.0,5.0,8.0,36,37.5
St Mary's College,St Mary's College,ADELAIDE,SA,-34.9281,138.589,1023.0,57.0,883.0,7.0,10.0,36,37.5
St Mary's College,St Mary's College,ADELAIDE,SA,-34.9281,138.589,1036.0,62.0,706.0,5.0,7.0,36,37.5
St Mary's College,St Mary's College,ADELAIDE,SA,-34.9281,138.589,1021.0,56.0,305.0,8.0,8.0,36,37.5
St Mary's College,St Mary's College,ADELAIDE,SA,-34.9281,138.589,839.0,4.0,750.0,61.0,56.0,36,37.5
St Mary's College,St Mary's College,ADELAIDE,SA,-34.9281,138.589,1078.0,78.0,688.0,1.0,15.0,36,37.5
St Michael's Grammar School,St Michael's Grammar School,ST KILDA,VIC,-37.85955,144.991742,1167.0,98.0,1134.0,0.0,12.0,33,13.1
St Monica's College,St Monica's College,EPPING,VIC,-37.655706,145.032058,1061.0,72.0,2163.0,0.0,55.0,29,3.8
St Monica's College,St Monica's College,EPPING,VIC,-37.655706,145.032058,1058.0,71.0,706.0,11.0,13.0,29,3.8
St Monica's College,St Monica's College,CAIRNS,QLD,-16.917595,145.773301,1061.0,72.0,2163.0,0.0,55.0,29,3.8
St Monica's College,St Monica's College,CAIRNS,QLD,-16.917595,145.773301,1058.0,71.0,706.0,11.0,13.0,29,3.8
St Patrick's College,St Patrick's College,PROSPECT VALE,TAS,-41.473557,147.127444,1016.0,54.0,1545.0,5.0,11.0,28,5.3
St Patrick's College,St Patrick's College,PROSPECT VALE,TAS,-41.473557,147.127444,1000.0,47.0,1422.0,7.0,6.0,28,5.3
St Patrick's College,St Patrick's College,PROSPECT VALE,TAS,-41.473557,147.127444,1056.0,70.0,1262.0,4.0,3.0,28,5.3
St Patrick's College,St Patrick's College,PROSPECT VALE,TAS,-41.473557,147.127444,1091.0,82.0,1419.0,2.0,13.0,28,5.3
St Patrick's College,St Patrick's College,PROSPECT VALE,TAS,-41.473557,147.127444,1034.0,62.0,486.0,3.0,4.0,28,5.3
St Patrick's College,St Patrick's College,MACKAY,QLD,-21.138565,149.184476,1016.0,54.0,1545.0,5.0,11.0,28,5.3
St Patrick's College,St Patrick's College,MACKAY,QLD,-21.138565,149.184476,1000.0,47.0,1422.0,7.0,6.0,28,5.3
St Patrick's College,St Patrick's College,MACKAY,QLD,-21.138565,149.184476,1056.0,70.0,1262.0,4.0,3.0,28,5.3
St Patrick's College,St Patrick's College,MACKAY,QLD,-21.138565,149.184476,1091.0,82.0,1419.0,2.0,13.0,28,5.3
St Patrick's College,St Patrick's College,MACKAY,QLD,-21.138565,149.184476,1034.0,62.0,486.0,3.0,4.0,28,5.3
St Patrick's College,St Patrick's College,BALLARAT,VIC,-37.559711,143.831558,1016.0,54.0,1545.0,5.0,11.0,28,5.3
St Patrick's College,St Patrick's College,BALLARAT,VIC,-37.559711,143.831558,1000.0,47.0,1422.0,7.0,6.0,28,5.3
St Patrick's College,St Patrick's College,BALLARAT,VIC,-37.559711,143.831558,1056.0,70.0,1262.0,4.0,3.0,28,5.3
St Patrick's College,St Patrick's College,BALLARAT,VIC,-37.559711,143.831558,1091.0,82.0,1419.0,2.0,13.0,28,5.3
St Patrick's College,St Patrick's College,BALLARAT,VIC,-37.559711,143.831558,1034.0,62.0,486.0,3.0,4.0,28,5.3
St Patrick's College,St Patrick's College,SHORNCLIFFE,QLD,-27.323343,153.083148,1016.0,54.0,1545.0,5.0,11.0,28,5.3
St Patrick's College,St Patrick's College,SHORNCLIFFE,QLD,-27.323343,153.083148,1000.0,47.0,1422.0,7.0,6.0,28,5.3
St Patrick's College,St Patrick's College,SHORNCLIFFE,QLD,-27.323343,153.083148,1056.0,70.0,1262.0,4.0,3.0,28,5.3
St Patrick's College,St Patrick's College,SHORNCLIFFE,QLD,-27.323343,153.083148,1091.0,82.0,1419.0,2.0,13.0,28,5.3
St Patrick's College,St Patrick's College,SHORNCLIFFE,QLD,-27.323343,153.083148,1034.0,62.0,486.0,3.0,4.0,28,5.3
St Patrick's College,St Patrick's College,GYMPIE,QLD,-26.1921061887418,152.666748800278,1016.0,54.0,1545.0,5.0,11.0,28,5.3
St Patrick's College,St Patrick's College,GYMPIE,QLD,-26.1921061887418,152.666748800278,1000.0,47.0,1422.0,7.0,6.0,28,5.3
St Patrick's College,St Patrick's College,GYMPIE,QLD,-26.1921061887418,152.666748800278,1056.0,70.0,1262.0,4.0,3.0,28,5.3
St Patrick's College,St Patrick's College,GYMPIE,QLD,-26.1921061887418,152.666748800278,1091.0,82.0,1419.0,2.0,13.0,28,5.3
St Patrick's College,St Patrick's College,GYMPIE,QLD,-26.1921061887418,152.666748800278,1034.0,62.0,486.0,3.0,4.0,28,5.3
St Peter's College,St Peter's College,CRANBOURNE,VIC,-38.108411,145.256866,1042.0,65.0,1962.0,1.0,59.0,26,2.3
St Peter's College,St Peter's College,CRANBOURNE,VIC,-38.108411,145.256866,1167.0,97.0,1566.0,0.0,36.0,26,2.3
St Peter's College,St Peter's College,ST PETERS,SA,-34.916908,138.618412,1042.0,65.0,1962.0,1.0,59.0,26,2.3
St Peter's College,St Peter's College,ST PETERS,SA,-34.916908,138.618412,1167.0,97.0,1566.0,0.0,36.0,26,2.3
St Thomas Aquinas College,St Thomas Aquinas College,TYNONG,VIC,-38.0829561,145.62279301,1030.0,60.0,222.0,0.0,28.0,26,0
Star of the Sea College,Star of the Sea College,BRIGHTON,VIC,-37.896734,144.99678,1133.0,92.0,1189.0,1.0,4.0,34,18.8
Staughton College,Staughton College,MELTON SOUTH,VIC,-37.708271,144.567745,960.0,28.0,1518.0,3.0,50.0,25,1.5
Stawell Secondary College,Stawell Secondary College,STAWELL,VIC,-37.061954,142.789787,966.0,32.0,315.0,5.0,9.0,23,2.4
Strathmore Secondary College,Strathmore Secondary College,STRATHMORE,VIC,-37.73695,144.926643,1084.0,80.0,1942.0,1.0,43.0,30,5.9
Sunbury College,Sunbury College,SUNBURY,VIC,-37.574206,144.728687,993.0,43.0,996.0,2.0,7.0,27,1.3
Sunshine College,Sunshine College,SUNSHINE WEST,VIC,-37.79274078,144.8135929,948.0,24.0,1202.0,1.0,61.0,26,1.5
Suzanne Cory High School,Suzanne Cory High School,WERRIBEE,VIC,-37.8939,144.701,1154.0,96.0,924.0,0.0,89.0,34,19
Swan Hill College,Swan Hill College,SWAN HILL,VIC,-35.33522773,143.55285194,940.0,21.0,758.0,14.0,9.0,26,1.8
Swifts Creek P-12 School,Swifts Creek P-12 School,SWIFTS CREEK,VIC,-37.26684449,147.7240342,947.0,23.0,95.0,2.0,7.0,29,7.1
Sydney Road Community School,Sydney Road Community School,BRUNSWICK,VIC,-37.7718349990803,144.962330426194,1041.0,64.0,105.0,9.0,7.0,22,0
Tallangatta Secondary College,Tallangatta Secondary College,TALLANGATTA,VIC,-36.220441,147.172667,984.0,40.0,312.0,6.0,3.0,27,0
Tarneit Senior College,Tarneit Senior College,TARNEIT,VIC,-37.83330658,144.6794225,1003.0,48.0,1064.0,1.0,82.0,23,0.7
Templestowe College,Templestowe College,TEMPLESTOWE LOWER,VIC,-37.76747383,145.12182858,1099.0,84.0,1223.0,1.0,21.0,28,7
The Geelong College,The Geelong College,NEWTOWN,VIC,-38.15241839,144.3400898,1150.0,95.0,1548.0,1.0,5.0,33,14.5
The Grange P-12 College,The Grange P-12 College,HOPPERS CROSSING,VIC,-37.8581346,144.67493809,970.0,33.0,1925.0,3.0,59.0,25,3.2
The King David School,The King David School,ARMADALE,VIC,-37.858226,145.010495,1160.0,97.0,593.0,0.0,21.0,34,18.3
The Knox School,The Knox School,WANTIRNA SOUTH,VIC,-37.865467,145.219198,1155.0,96.0,738.0,1.0,65.0,33,7.4
The Lakes South Morang College,The Lakes South Morang College,SOUTH MORANG,VIC,-37.634598,145.076703,1004.0,49.0,680.0,3.0,46.0,30,2.7
Thomas Carr College,Thomas Carr College,TARNEIT,VIC,-37.847676,144.702055,1057.0,71.0,1276.0,1.0,51.0,26,2
Thomastown Secondary College,Thomastown Secondary College,THOMASTOWN,VIC,-37.679045,145.00275,928.0,17.0,457.0,2.0,81.0,24,1.4
Thornbury High School,Thornbury High School,THORNBURY,VIC,-37.75649469,145.02521353,1052.0,69.0,1114.0,5.0,35.0,30,6
Timboon P-12 School,Timboon P-12 School,TIMBOON,VIC,-38.48365065,142.97548307,1006.0,50.0,466.0,2.0,10.0,24,1.6
Tintern Grammar,Tintern Grammar,RINGWOOD EAST,VIC,-37.8160964,145.25646488,1158.0,96.0,904.0,0.0,35.0,34,17.3
Toorak College,Toorak College,MOUNT ELIZA,VIC,-38.17324124,145.09322974,1147.0,95.0,860.0,1.0,20.0,34,14.8
Trafalgar High School,Trafalgar High School,TRAFALGAR,VIC,-38.214568,146.158302,994.0,44.0,692.0,2.0,6.0,27,5.9
Traralgon College,Traralgon College,TRARALGON,VIC,-38.19142459,146.51948948,939.0,21.0,899.0,6.0,6.0,25,0.9
Trinity College Colac,Trinity College Colac,COLAC,VIC,-38.35120596,143.57874347,1014.0,53.0,749.0,2.0,9.0,28,1.3
Trinity Grammar School,Trinity Grammar School,SUMMER HILL,NSW,-33.898552,151.130711,1165.0,97.0,2261.0,0.0,59.0,36,26.3
Tyrrell College,Tyrrell College,SEA LAKE,VIC,-35.509276,142.853519,970.0,33.0,128.0,6.0,2.0,28,3.3
University High School,University High School,PARKVILLE,VIC,-37.797009,144.955664,1121.0,89.0,1915.0,1.0,66.0,31,9
Upper Yarra Secondary College,Upper Yarra Secondary College,YARRA JUNCTION,VIC,-37.79209352,145.62393303,977.0,36.0,688.0,4.0,3.0,27,2.1
Upwey High School,Upwey High School,UPWEY,VIC,-37.90323624,145.33428967,1047.0,67.0,785.0,1.0,5.0,27,1.5
Vermont Secondary College,Vermont Secondary College,VERMONT,VIC,-37.842864,145.199846,1119.0,89.0,1587.0,0.0,51.0,32,9.8
Victory Christian College,Victory Christian College,KENNINGTON,VIC,-36.782625,144.313456,1075.0,77.0,847.0,2.0,23.0,29,7.3
Victory Lutheran College,Victory Lutheran College,WEST WODONGA,VIC,-36.116752,146.846422,1071.0,76.0,869.0,2.0,11.0,28,1.8
Viewbank College,Viewbank College,Viewbank,VIC,-37.741226,145.086953,1121.0,90.0,1464.0,1.0,38.0,31,7
Village High School,Village High School,WONTHAGGI,VIC,-38.5292,145.5588,1026.0,58.0,59.0,2.0,2.0,I/D,I/D
Virtual School Victoria,Virtual School Victoria,THORNBURY,VIC,-37.76204,145.025701,1070.0,75.0,5942.0,2.0,19.0,27,3.3
Wallan Secondary College,Wallan Secondary College,WALLAN,VIC,-37.41944661,144.98036163,965.0,31.0,893.0,6.0,29.0,22,0
Wangaratta High School,Wangaratta High School,WANGARATTA,VIC,-36.344064,146.309332,953.0,26.0,546.0,8.0,5.0,26,1.9
Wantirna College,Wantirna College,WANTIRNA,VIC,-37.857785,145.230563,1025.0,58.0,1491.0,2.0,24.0,29,3.6
Warragul Regional College,Warragul Regional College,WARRAGUL,VIC,-38.16519591,145.92548523,975.0,36.0,703.0,5.0,5.0,24,0
Warrandyte High School,Warrandyte High School,WARRANDYTE,VIC,-37.74707962,145.18458158,1049.0,68.0,276.0,1.0,10.0,26,0.8
Warrnambool College,Warrnambool College,WARRNAMBOOL,VIC,-38.37671595,142.4996761,981.0,38.0,1127.0,9.0,6.0,26,1.5
Waverley Christian College,Waverley Christian College,WANTIRNA SOUTH,VIC,-37.879582,145.215085,1143.0,94.0,2311.0,0.0,68.0,34,18.5
Waverley Christian College,Waverley Christian College,WANTIRNA SOUTH,VIC,-37.879582,145.215085,1143.0,94.0,2311.0,0.0,68.0,31,4.5
Wedderburn College,Wedderburn College,WEDDERBURN,VIC,-36.416952,143.61714,922.0,15.0,199.0,9.0,3.0,20,0
Wellington Secondary College,Wellington Secondary College,MULGRAVE,VIC,-37.934656,145.17022,1003.0,48.0,1667.0,0.0,83.0,29,4.7
Werribee Secondary College,Werribee Secondary College,WERRIBEE,VIC,-37.90552851,144.66892175,1043.0,65.0,1656.0,1.0,73.0,28,5.2
Wesley College,Wesley College,MELBOURNE,VIC,-37.84883,144.982144,1174.0,98.0,3207.0,0.0,19.0,32,8.9
Wesley College,Wesley College,MELBOURNE,VIC,-37.84883,144.982144,1153.0,96.0,1286.0,3.0,22.0,32,8.9
Wesley College,Wesley College,SOUTH PERTH,WA,-31.97961377,115.8645382,1174.0,98.0,3207.0,0.0,19.0,32,8.9
Wesley College,Wesley College,SOUTH PERTH,WA,-31.97961377,115.8645382,1153.0,96.0,1286.0,3.0,22.0,32,8.9
Wesley College,Wesley College,MELBOURNE,VIC,-37.84883,144.982144,1174.0,98.0,3207.0,0.0,19.0,31,7.6
Wesley College,Wesley College,MELBOURNE,VIC,-37.84883,144.982144,1153.0,96.0,1286.0,3.0,22.0,31,7.6
Wesley College,Wesley College,SOUTH PERTH,WA,-31.97961377,115.8645382,1174.0,98.0,3207.0,0.0,19.0,31,7.6
Wesley College,Wesley College,SOUTH PERTH,WA,-31.97961377,115.8645382,1153.0,96.0,1286.0,3.0,22.0,31,7.6
Westall Secondary College,Westall Secondary College,CLAYTON SOUTH,VIC,-37.94021554,145.1361047,964.0,30.0,690.0,1.0,85.0,24,3
Westbourne Grammar School,Westbourne Grammar School,NEWPORT,VIC,-37.849899,144.895511,,,,,,33,15
Westbourne Grammar School,Westbourne Grammar School,NEWPORT,VIC,-37.849899,144.895511,1162.0,97.0,1918.0,0.0,50.0,33,15
Westbourne Grammar School,Westbourne Grammar School,TRUGANINA,VIC,-37.850843,144.724898,,,,,,33,15
Westbourne Grammar School,Westbourne Grammar School,TRUGANINA,VIC,-37.850843,144.724898,1162.0,97.0,1918.0,0.0,50.0,33,15
Whitefriars College,Whitefriars College,DONVALE,VIC,-37.7918,145.199541,1113.0,88.0,1041.0,1.0,8.0,30,7
Whittlesea Secondary College,Whittlesea Secondary College,WHITTLESEA,VIC,-37.5150463,145.12017505,963.0,30.0,712.0,3.0,5.0,24,1.7
Williamstown High School,Williamstown High School,WILLIAMSTOWN,VIC,-37.862753,144.895131,1110.0,87.0,1513.0,1.0,22.0,31,10.3
Woodleigh School,Woodleigh School,LANGWARRIN SOUTH,VIC,-38.192609,145.173558,1115.0,88.0,932.0,1.0,11.0,31,6.5
Woodmans Hill Secondary College,Woodmans Hill Secondary College,BALLARAT EAST,VIC,-37.559117,143.893784,986.0,40.0,564.0,5.0,7.0,27,5.3
Wycheproof P-12 College,Wycheproof P-12 College,WYCHEPROOF,VIC,-36.075704,143.229098,995.0,44.0,94.0,0.0,5.0,30,2.6
Xavier College,Xavier College,LLANDILO,NSW,-33.714378,150.73271,1021.0,56.0,1192.0,7.0,34.0,34,14.9
Xavier College,Xavier College,LLANDILO,NSW,-33.714378,150.73271,1160.0,97.0,1558.0,1.0,12.0,34,14.9
Xavier College,Xavier College,LLANDILO,NSW,-33.714378,150.73271,1000.0,47.0,2261.0,5.0,3.0,34,14.9
Xavier College,Xavier College,KEW,VIC,-37.813858,145.031105,1021.0,56.0,1192.0,7.0,34.0,34,14.9
Xavier College,Xavier College,KEW,VIC,-37.813858,145.031105,1160.0,97.0,1558.0,1.0,12.0,34,14.9
Xavier College,Xavier College,KEW,VIC,-37.813858,145.031105,1000.0,47.0,2261.0,5.0,3.0,34,14.9
Yarram Secondary College,Yarram Secondary College,YARRAM,VIC,-38.566575,146.68546,949.0,24.0,290.0,3.0,2.0,25,1.4
Yarrawonga College P-12,Yarrawonga College P-12,YARRAWONGA,VIC,-36.02144074,146.0066682,963.0,30.0,1002.0,5.0,3.0,28,1.3
Yea High School,Yea High School,YEA,VIC,-37.215011,145.408536,966.0,32.0,301.0,6.0,9.0,25,0
Yeshivah College,Yeshivah College,ST KILDA EAST,VIC,-37.867922,144.999941,1077.0,78.0,376.0,0.0,16.0,37,25.3
Yesodei HaTorah College,Yesodei HaTorah College,ELWOOD,VIC,-37.873227,144.983491,1110.0,87.0,149.0,0.0,11.0,28,7.9
Youth2Industry College,Youth2Industry College,SOUTH MELBOURNE,VIC,-37.83708725,144.9665614,1029.0,60.0,64.0,5.0,8.0,-,-
