SA2_MAIN16,sa2_name,icsea_mean,school_count
210041240,Sunbury,1032.3333333333333,6
210051242,Broadmeadows,955.1,10
210051243,Campbellfield - Coolaroo,943.7142857142857,7
210051245,Gladstone Park - Westmeadows,1008.4,5
210051246,Greenvale - Bulla,1038.0,7
210051247,Meadow Heights,920.5,2
210051250,Tullamarine,992.0,1
210051441,Craigieburn - Central,991.0,1
210051442,Craigieburn - North,996.0,3
210051443,Craigieburn - South,968.2,5
210051445,Mickleham - Yuroke,1029.0,8
211011251,Bayswater,1024.8,5
211011254,Knoxfield - Scoresby,1032.4,5
211011255,Lysterfield,1061.0,1
211011256,Rowville - Central,1059.5,4
211011257,Rowville - North,1088.0,1
211011258,Rowville - South,1088.0,1
211011259,Wantirna,1073.4,5
211011260,Wantirna South,1107.7142857142858,7
211011446,Boronia,1008.3333333333334,6
211011447,Ferntree Gully (North),1029.4285714285713,7
211011448,Ferntree Gully (South) - Upper Ferntree Gully,1042.0,4
211011449,The Basin,1056.0,2
211021261,Donvale - Park Orchards,1100.142857142857,7
211021262,Warrandyte - Wonga Park,1093.75,4
211031263,Bayswater North,1019.0,1
211031265,Croydon Hills - Warranwood,1100.142857142857,7
211031266,Ringwood,1069.4285714285713,7
211031267,Ringwood East,1077.2857142857142,7
211031268,Ringwood North,1105.0,3
211031450,Croydon - East,1028.0,2
211031451,Croydon - West,1009.4,5
211031452,Croydon South,979.0,1
211041269,Forest Hill,1078.0,1
211041270,Mitcham (Vic.),1116.2,5
211041271,Nunawading,1099.0,3
211041272,Vermont,1110.75,4
211041273,Vermont South,1091.0,5
211051274,Belgrave - Selby,1083.8333333333333,6
211051275,Chirnside Park,1070.5,2
211051276,Healesville - Yarra Glen,961.4285714285714,7
211051277,Kilsyth,1002.5,4
211051278,Lilydale - Coldstream,1019.6363636363636,11
211051279,Monbulk - Silvan,1036.2,5
211051280,Montrose,1053.3333333333333,3
211051281,Mooroolbark,1009.2,10
211051282,Mount Dandenong - Olinda,1057.2857142857142,7
211051283,Mount Evelyn,1018.0,4
211051284,Upwey - Tecoma,1075.0,4
211051285,Wandin - Seville,1001.3333333333334,3
211051286,Yarra Valley,984.8181818181819,11
212011289,Emerald - Cockatoo,1036.2857142857142,7
212021293,Berwick - North,1080.5714285714287,7
212021295,Doveton,932.5,2
212021297,Hallam,942.0,2
212021299,Narre Warren North,1079.8333333333333,6
212021453,Endeavour Hills - North,1028.4,5
212021454,Endeavour Hills - South,1011.8,5
212021455,Narre Warren - North East,1022.5,2
212021456,Narre Warren - South West,968.5714285714286,7
212031300,Cranbourne,967.7142857142857,7
212031303,Cranbourne South,1024.857142857143,7
212031304,Cranbourne West,1012.5,4
212031306,Lynbrook - Lyndhurst,1022.3333333333334,3
212031308,Pearcedale - Tooradin,1007.5,2
212031457,Narre Warren South (East),1025.5,2
212031458,Narre Warren South (West),989.3333333333334,3
212041309,Clarinda - Oakleigh South,1072.5,2
212041310,Clayton South,1019.0,4
212041312,Dandenong North,985.2,5
212041313,Dingley Village,1073.0,3
212041316,Noble Park North,1018.3333333333334,3
212041317,Springvale,977.7142857142857,7
212041318,Springvale South,965.75,4
212041459,Noble Park - East,972.3333333333334,3
212041460,Noble Park - West,952.75,4
212051319,Ashwood - Chadstone,1078.0,5
212051321,Glen Waverley - East,1124.857142857143,7
212051322,Glen Waverley - West,1105.1666666666667,6
212051323,Mount Waverley - North,1129.6,5
212051324,Mount Waverley - South,1154.6,5
212051325,Mulgrave,1046.4,5
212051326,Oakleigh - Huntingdale,1109.7142857142858,7
212051327,Wheelers Hill,1103.5,8
213011328,Ardeer - Albion,1018.0,4
213011329,Cairnlea,1026.0,1
213011331,Delahey,967.5,2
213011332,Keilor Downs,1016.8,5
213011333,Kings Park (Vic.),955.25,4
213011334,St Albans - North,951.4285714285714,7
213011335,St Albans - South,971.3333333333334,6
213011336,Sunshine,1011.3333333333334,3
213011337,Sunshine North,977.8,5
213011338,Sunshine West,976.75,8
213011339,Sydenham,1036.0,3
213011340,Taylors Lakes,1022.6666666666666,3
213021341,Altona,1079.4,5
213021342,Altona Meadows,1035.3333333333333,3
213021343,Altona North,1059.8,5
213021344,Newport,1116.0,5
213021345,Seabrook,1102.0,1
213021346,Williamstown,1108.3333333333333,6
213031347,Braybrook,988.8333333333334,6
213031348,Footscray,1098.6666666666667,6
213031349,Maribyrnong,1087.5,2
213031351,West Footscray - Tottenham,1111.5,2
213031352,Yarraville,1102.2,5
213041353,Bacchus Marsh,1013.5714285714286,7
213041358,Melton West,974.125,8
213041359,Rockbank - Mount Cottrell,1031.2,5
213041360,Taylors Hill,1071.0,4
213041461,Burnside,1034.0,1
213041462,Burnside Heights,1082.0,1
213041463,Caroline Springs,1027.5,6
213051361,Hoppers Crossing - North,1002.5,4
213051362,Hoppers Crossing - South,987.6666666666666,6
213051363,Laverton,1023.0,4
213051368,Werribee - South,1044.0,6
213051464,Point Cook - East,1071.3333333333333,3
