SA2_MAIN16,sa2_name,icsea_mean,school_count
206051512,South Melbourne,983.0,2
206051513,St Kilda - Central,1167.0,1
206061136,Prahran - Windsor,1123.5,2
206061138,Toorak,1172.0,3
206061515,South Yarra - North,1186.0,2
206071141,Collingwood,1039.0,1
206071142,Fitzroy,1075.0,1
206071143,Fitzroy North,1097.0,1
206071145,Clifton Hill - Alphington,1156.0,1
206071517,Richmond (South) - Cremorne,1044.0,1
206071518,Richmond - North,1063.0,1
207011147,Balwyn,1203.0,1
207011148,Balwyn North,1143.0,1
207011149,Camberwell,1124.0,1
207011152,Hawthorn East,1146.0,3
207011154,Kew East,1114.0,1
207011520,Hawthorn - South,1191.0,1
207011521,Kew - South,1179.6666666666667,3
207021156,Bulleen,1107.0,1
207021157,Doncaster,1064.0,1
207021160,Templestowe Lower,1099.0,1
207031161,Blackburn,1097.0,1
207031163,Box Hill,1125.0,3
207031164,Box Hill North,1102.0,1
207031165,Burwood (Vic.),1188.5,2
207031166,Burwood East,1046.0,1
208011168,Beaumaris,1111.0,1
208011169,Brighton (Vic.),1140.6666666666667,3
208011170,Brighton East,1150.5,2
208011173,Sandringham - Black Rock,1108.0,1
208021177,Caulfield - North,1089.8333333333333,6
208021179,Elsternwick,1029.0,2
208021180,Hughesdale,1091.0,2
208021182,Ormond - Glen Huntly,1057.5,2
208021427,Bentleigh East - South,1077.0,1
208031188,Highett (East) - Cheltenham,1054.0,1
208031189,Edithvale - Aspendale,1063.0,1
208031190,Mentone,1121.5,4
208031193,Mordialloc - Parkdale,1067.0,1
208041194,Malvern - Glen Iris,1165.6666666666667,3
209011196,Bundoora - East,1055.5,2
209011197,Greensborough,1065.0,1
209011198,Heidelberg - Rosanna,1105.0,1
209011200,Ivanhoe,1173.0,2
209011203,Viewbank - Yallambie,1095.5,2
209011204,Watsonia,1052.0,1
209021205,Kingsbury,940.0,1
209021428,Preston - East,1046.5,2
209021525,Reservoir - South East,990.0,1
209031209,Eltham,1094.0,1
209031212,Panton Hill - St Andrews,1111.0,1
209031214,Research - North Warrandyte,1145.0,1
209031215,Wattle Glen - Diamond Creek,1024.0,1
209041217,Bundoora - West,1100.0,1
209041220,Mill Park - North,1011.0,1
209041223,Thomastown,928.0,1
209041224,Wallan,965.0,1
209041225,Whittlesea,963.0,1
209041431,Epping - East,1005.5,2
209041432,Epping - South,1061.0,1
209041435,South Morang - North,1004.0,1
209041436,South Morang - South,1039.5,2
209041437,Wollert,999.0,1
209041527,Doreen - North,1023.0,1
209041529,Lalor - East,966.0,1
209041530,Lalor - West,977.0,1
209041532,Mernda - South,1011.0,1
210011230,Niddrie - Essendon West,1062.5,2
210011231,Strathmore,1084.0,1
210011534,Keilor East,1007.0,1
210021232,Gisborne,1020.0,1
210021233,Macedon,1126.5,2
210031236,Coburg North,1045.0,1
210031237,Fawkner,1011.0,1
210031535,Glenroy - East,955.5,2
210041240,Sunbury,1037.0,3
210051242,Broadmeadows,995.0,1
210051246,Greenvale - Bulla,1040.0,2
210051442,Craigieburn - North,971.0,1
210051443,Craigieburn - South,944.5,2
210051445,Mickleham - Yuroke,1092.0,1
210051544,Roxburgh Park (South) - Somerton,919.0,1
211011251,Bayswater,980.0,1
211011254,Knoxfield - Scoresby,1004.0,1
211011256,Rowville - Central,1025.0,1
211011259,Wantirna,1025.0,1
211011260,Wantirna South,1155.3333333333333,3
211011446,Boronia,981.0,1
211011447,Ferntree Gully - North,987.0,1
211011448,Ferntree Gully (South) - Upper Ferntree Gully,1047.0,1
