School,Locality,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Median VCE study score,Percentage of study scores of 40 and over,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
Braemar College,WOODEND,50,82.9,99,32,7.2,46238,56354,16354,46238,Braemar College,WOODEND,VIC,3442,Independent,Combined,0,School Head Campus,-37.36376572,144.5763245,1,Inner Regional,20356262000,21002123304,210021233,Macedon,21002,Macedon Ranges,210,Melbourne - North West,24130,Macedon Ranges,24504,Macedon (Northern Victoria),232,McEwen
Braybrook College,BRAYBROOK,323,83.4,98,31,8.1,45360,46184,6184,45360,Braybrook College,BRAYBROOK,VIC,3019,Government,Secondary,0,School Single Entity,-37.777975,144.847568,0,Major Cities,20376900000,21303134717,213031347,Braybrook,21303,Maribyrnong,213,Melbourne - West,24330,Maribyrnong,24307,Laverton (Western Metropolitan),214,Fraser
Brentwood Secondary College,GLEN WAVERLEY,107,82.6,100,30,5.9,45361,48905,8905,45361,Brentwood Secondary College,GLEN WAVERLEY,VIC,3150,Government,Secondary,0,School Single Entity,-37.89950842,145.1663432,0,Major Cities,20431190000,21205132106,212051321,Glen Waverley - East,21205,Monash,212,Melbourne - South East,24970,Monash,23402,Glen Waverley (North-Eastern Metropolitan),207,Chisholm
Bright P-12 College,BRIGHT,49,43.8,97,29,5.1,44140,54892,14892,44140,Bright P-12 College,BRIGHT,VIC,3741,Government,Combined,0,School Head Campus,-36.733105,146.960928,2,Outer Regional,20001400000,20403106910,204031069,Bright - Mount Beauty,20403,Wodonga - Alpine,204,Hume,20110,Alpine,26404,Ovens Valley (Northern Victoria),223,Indi
Brighton Grammar School,BRIGHTON,15,93.3,100,35,24.3,46200,42428,2428,46200,Brighton Grammar School,BRIGHTON,VIC,3186,Independent,Combined,0,School Single Entity,-37.911108,144.993524,0,Major Cities,20631926870,20801116915,208011169,Brighton (Vic.),20801,Bayside,208,Melbourne - Inner South,20910,Bayside (Vic.),21206,Brighton (Southern Metropolitan),217,Goldstein
Brighton Secondary College,BRIGHTON EAST,59,85.2,99,30,6.3,45362,49274,9274,45362,Brighton Secondary College,BRIGHTON EAST,VIC,3187,Government,Secondary,0,School Single Entity,-37.920156,145.019119,0,Major Cities,20044250000,20801117013,208011170,Brighton East,20801,Bayside,208,Melbourne - Inner South,20910,Bayside (Vic.),21206,Brighton (Southern Metropolitan),217,Goldstein
Broadford Secondary College,BROADFORD,107,54.4,98,22,0.7,45363,51510,11510,45363,Broadford Secondary College,BROADFORD,VIC,3658,Government,Secondary,0,School Single Entity,-37.204375,145.040033,1,Inner Regional,20419570000,20401105606,204011056,Kilmore - Broadford,20401,Upper Goulburn Valley,204,Hume,24850,Mitchell,22704,Euroa (Northern Victoria),236,Nicholls
Brunswick Secondary College,BRUNSWICK,79,76.8,97,30,8.8,45545,46256,6256,45545,Brunswick Secondary College,BRUNSWICK,VIC,3056,Government,Secondary,0,School Single Entity,-37.77099,144.956515,0,Major Cities,20465220000,20601149618,206011496,Brunswick - South,20601,Brunswick - Coburg,206,Melbourne - Inner,24700,Merri-bek,21403,Brunswick (Northern Metropolitan),239,Wills
Buckley Park College,ESSENDON,49,82.5,99,29,5.7,45364,47995,7995,45364,Buckley Park College,ESSENDON,VIC,3040,Government,Secondary,0,School Single Entity,-37.747117,144.897755,0,Major Cities,20448190000,20603150117,206031501,Essendon (West) - Aberfeldie,20603,Essendon,206,Melbourne - Inner,25060,Moonee Valley,26107,Niddrie (Western Metropolitan),231,Maribyrnong
Bundoora Secondary College,BUNDOORA,112,40.6,89,26,1.7,45395,56058,16058,45395,Bundoora Secondary College,BUNDOORA,VIC,3083,Government,Secondary,0,School Single Entity,-37.70757147,145.061579,0,Major Cities,20025830000,20901119602,209011196,Bundoora - East,20901,Banyule,209,Melbourne - North East,20660,Banyule,21602,Bundoora (North-Eastern Metropolitan),225,Jagajaga
