School,Locality,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Median VCE study score,Percentage of study scores of 40 and over,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
Bairnsdale Secondary College,BAIRNSDALE,202,43.9,96,26,1.1,45489,52086,12086,45489,Bairnsdale Secondary College,BAIRNSDALE,VIC,3875,Government,Secondary,0,School Head Campus,-37.83202616,147.6220376,2,Outer Regional,20157550000,20502108110,205021081,Bairnsdale,20502,Gippsland - East,205,Latrobe - Gippsland,22110,East Gippsland,23201,Gippsland East (Eastern Victoria),216,Gippsland
Balcombe Grammar School,MOUNT MARTHA,21,75.7,100,30,5.2,46383,67586,27586,46383,Balcombe Grammar School,MOUNT MARTHA,VIC,3934,Independent,Combined,0,School Single Entity,-38.2738,145.033,0,Major Cities,20631968320,21402138235,214021382,Mount Martha,21402,Mornington Peninsula,214,Mornington Peninsula,25340,Mornington Peninsula,25301,Mornington (Eastern Victoria),213,Flinders
Ballarat Christian College,SEBASTOPOL,40,62.5,100,25,0,46384,66580,26580,46384,Ballarat Christian College,SEBASTOPOL,VIC,3356,Independent,Combined,0,School Single Entity,-37.59333224,143.843249,1,Inner Regional,20014911000,20101148425,201011484,Sebastopol - Redan,20101,Ballarat,201,Ballarat,20570,Ballarat,28508,Wendouree (Western Victoria),202,Ballarat
Ballarat Clarendon College,BALLARAT,103,92.6,100,37,34.7,46146,56351,16351,46146,Ballarat Clarendon College,BALLARAT,VIC,3350,Independent,Combined,0,School Head Campus,-37.55964761,143.8336504,1,Inner Regional,20631984730,20101100206,201011002,Ballarat,20101,Ballarat,201,Ballarat,20570,Ballarat,28508,Wendouree (Western Victoria),202,Ballarat
Ballarat Grammar,WENDOUREE,132,80.9,100,32,11.7,46166,56352,16352,46166,Ballarat Grammar,WENDOUREE,VIC,3355,Independent,Combined,0,School Head Campus,-37.539237,143.83083,1,Inner Regional,20011271000,20101100825,201011008,Wendouree - Miners Rest,20101,Ballarat,201,Ballarat,20570,Ballarat,28508,Wendouree (Western Victoria),202,Ballarat
Ballarat High School,BALLARAT,273,50,96,29,2.2,45350,50119,10119,45350,Ballarat High School,LAKE GARDENS,VIC,3350,Government,Secondary,0,School Single Entity,-37.554234,143.817713,1,Inner Regional,20011660000,20101100202,201011002,Ballarat,20101,Ballarat,201,Ballarat,20570,Ballarat,28508,Wendouree (Western Victoria),202,Ballarat
Balwyn High School,BALWYN NORTH,26,92.4,100,32,14.7,45351,48243,8243,45351,Balwyn High School,BALWYN NORTH,VIC,3104,Government,Secondary,0,School Single Entity,-37.79785922,145.0767724,0,Major Cities,20057640000,20701114823,207011148,Balwyn North,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,24006,Kew (Southern Metropolitan),226,Kooyong
Bannockburn P-12 College,BANNOCKBURN,99,40.4,95,23,1.5,44168,50044,10044,44168,Bannockburn P-12 College,BANNOCKBURN,VIC,3331,Government,Combined,0,School Single Entity,-38.047092,144.16951,1,Inner Regional,20631915640,20301103413,203011034,Bannockburn,20301,Barwon - West,203,Geelong,22490,Golden Plains,23108,Geelong (Western Victoria),209,Corangamite
Bass Coast College,WONTHAGGI,310,53.1,95,28,3.6,40597,52276,12276,40597,Bass Coast College,WONTHAGGI,VIC,3995,Government,Secondary,0,School Head Campus,-38.609807,145.597177,1,Inner Regional,20681530000,20503109314,205031093,Wonthaggi - Inverloch,20503,Gippsland - South West,205,Latrobe - Gippsland,20740,Bass Coast,20301,Bass (Eastern Victoria),235,Monash
Bayside Christian College,LANGWARRIN SOUTH,45,52.9,98,30,3.6,46271,44000,4000,46271,Bayside Christian College,LANGWARRIN SOUTH,VIC,3911,Independent,Combined,0,School Single Entity,-38.178632,145.16302,0,Major Cities,20631911920,21401137426,214011374,Langwarrin,21401,Frankston,214,Mornington Peninsula,22170,Frankston,23601,Hastings (Eastern Victoria),212,Dunkley
Bayside P-12 College,NEWPORT,118,58.7,99,28,2.3,45538,56370,16370,45538,Bayside P-12 College,WILLIAMSTOWN,VIC,3016,Government,Combined,0,School Head Campus,-37.85770007,144.8852138,0,Major Cities,20285760000,21302134622,213021346,Williamstown,21302,Hobsons Bay,213,Melbourne - West,23110,Hobsons Bay,28707,Williamstown (Western Metropolitan),215,Gellibrand
Bayswater Secondary College,BAYSWATER,70,44.4,93,26,0,45352,48992,8992,45352,Bayswater Secondary College,BAYSWATER,VIC,3153,Government,Secondary,0,School Single Entity,-37.83903,145.261998,0,Major Cities,20326850000,21101125120,211011251,Bayswater,21101,Knox,211,Melbourne - Outer East,23670,Knox,20402,Bayswater (North-Eastern Metropolitan),201,Aston
Bayview College,PORTLAND,26,74.2,100,27,1.4,46161,55834,15834,46161,Bayview College,PORTLAND,VIC,3305,Independent,Secondary,0,School Single Entity,-38.3452,141.606,2,Outer Regional,20631941960,21701142232,217011422,Portland,21701,Glenelg - Southern Grampians,217,Warrnambool and South West,22410,Glenelg,27808,South-West Coast (Western Victoria),238,Wannon
Beaufort Secondary College,BEAUFORT,53,32,88,27,0,45353,50582,10582,45353,Beaufort Secondary College,BEAUFORT,VIC,3373,Government,Secondary,0,School Single Entity,-37.43831986,143.3825468,1,Inner Regional,20534150000,20103101401,201031014,Beaufort,20103,Maryborough - Pyrenees,201,Ballarat,25990,Pyrenees,27308,Ripon (Western Victoria),238,Wannon
Beaumaris Secondary College,BEAUMARIS,42,77.2,99,30,5.9,52592,85307,85306,52592,Beaumaris Secondary College,BEAUMARIS,VIC,3193,Government,Secondary,0,School Single Entity,-37.98163,145.033698,0,Major Cities,20050220000,20801116807,208011168,Beaumaris,20801,Bayside,208,Melbourne - Inner South,20910,Bayside (Vic.),27506,Sandringham (Southern Metropolitan),217,Goldstein
Beechworth Secondary College,BEECHWORTH,37,60,96,28,6.5,45354,51722,11722,45354,Beechworth Secondary College,BEECHWORTH,VIC,3747,Government,Secondary,0,School Single Entity,-36.34719449,146.6906422,1,Inner Regional,20304610000,20403106811,204031068,Beechworth,20403,Wodonga - Alpine,204,Hume,23350,Indigo,20604,Benambra (Northern Victoria),223,Indi
Bellarine Secondary College,DRYSDALE,170,44.7,94,28,4.9,45456,55639,15639,45456,Bellarine Secondary College,DRYSDALE,VIC,3222,Government,Secondary,0,School Head Campus,-38.191069,144.556993,1,Inner Regional,20264000000,20303104831,203031048,Clifton Springs,20303,Surf Coast - Bellarine Peninsula,203,Geelong,22750,Greater Geelong,20508,Bellarine (Western Victoria),209,Corangamite
Belmont High School,BELMONT,208,54.7,97,29,4.5,45355,49478,9478,45355,Belmont High School,BELMONT,VIC,3216,Government,Secondary,0,School Head Campus,-38.17555773,144.3305875,0,Major Cities,20256260000,20302103714,203021037,Belmont,20302,Geelong,203,Geelong,22750,Greater Geelong,27708,South Barwon (Western Victoria),210,Corio
Benalla P-12 College,BENALLA,86,41.3,98,24,0.8,50569,69978,29978,50569,Benalla P-12 College,BENALLA,VIC,3672,Government,Combined,0,School Head Campus,-36.553372,145.963847,1,Inner Regional,20053970000,20402106305,204021063,Benalla,20402,Wangaratta - Benalla,204,Hume,21010,Benalla,22704,Euroa (Northern Victoria),223,Indi
Bentleigh Secondary College,BENTLEIGH EAST,116,64.1,92,30,5.6,45338,54988,14988,45338,Bentleigh Secondary College,BENTLEIGH EAST,VIC,3165,Government,Secondary,0,School Single Entity,-37.92767095,145.0599114,0,Major Cities,20196650000,20802142702,208021427,Bentleigh East - South,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,20906,Bentleigh (Southern Metropolitan),222,Hotham
Berwick Secondary College,BERWICK,136,61,97,29,2.6,45356,51847,11847,45356,Berwick Secondary College,BERWICK,VIC,3806,Government,Secondary,0,School Single Entity,-38.031068,145.364182,0,Major Cities,20109970000,21202129336,212021293,Berwick - North,21202,Casey - North,212,Melbourne - South East,21610,Casey,21005,Berwick (South-Eastern Metropolitan),227,La Trobe
Beth Rivkah Ladies College,ST KILDA EAST,61,61.3,100,35,23.5,46216,77090,1301,46216,Beth Rivkah Ladies College,ST KILDA EAST,VIC,3183,Independent,Combined,0,School Single Entity,-37.869629,145.001684,0,Major Cities,20631934460,20802117751,208021177,Caulfield - North,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,21806,Caulfield (Southern Metropolitan),229,Macnamara
Bialik College,HAWTHORN,98,98.8,100,36,29.7,46221,40753,753,46221,Bialik College,HAWTHORN,VIC,3122,Independent,Combined,0,School Single Entity,-37.84197,145.043299,0,Major Cities,20071592000,20701115203,207011152,Hawthorn East,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,23706,Hawthorn (Southern Metropolitan),226,Kooyong
Billanook College,MOOROOLBARK,53,93.1,100,31,7,46264,42482,2482,46264,Billanook College,MOOROOLBARK,VIC,3138,Independent,Combined,0,School Single Entity,-37.78785168,145.3388701,0,Major Cities,20652110000,21105128119,211051281,Mooroolbark,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22801,Evelyn (Eastern Victoria),206,Casey
Birchip P-12 School,BIRCHIP,29,52.6,100,31,10.4,45568,50894,10894,45568,Birchip P-12 School,BIRCHIP,VIC,3483,Government,Combined,0,School Single Entity,-35.98438249,142.9099365,2,Outer Regional,20094280000,21503140018,215031400,Buloke,21503,Murray River - Swan Hill,215,North West,21270,Buloke,24904,Mildura (Northern Victoria),230,Mallee
Blackburn High School,BLACKBURN,87,78.2,100,31,8.1,45357,48389,8389,45357,Blackburn High School,BLACKBURN,VIC,3130,Government,Secondary,0,School Single Entity,-37.81037,145.149893,0,Major Cities,20604800000,20703116134,207031161,Blackburn,20703,Whitehorse - West,207,Melbourne - Inner East,26980,Whitehorse,21102,Box Hill (North-Eastern Metropolitan),234,Menzies
Boort District P-12 School,BOORT,24,69.6,96,30,6.2,50271,69142,29142,50271,Boort District P-12 School,BOORT,VIC,3537,Government,Combined,0,School Single Entity,-36.11042086,143.7268142,2,Outer Regional,20351330000,20203103315,202031033,Loddon,20203,Loddon - Elmore,202,Bendigo,23940,Loddon,25604,Murray Plains (Northern Victoria),230,Mallee
Boronia K-12 College,BORONIA,44,65.8,92,27,0.8,44703,69810,29810,44703,Boronia K-12 College,BORONIA,VIC,3155,Government,Combined,0,School Single Entity,-37.858934,145.289416,0,Major Cities,20329740000,21101144607,211011446,Boronia,21101,Knox,211,Melbourne - Outer East,23670,Knox,20402,Bayswater (North-Eastern Metropolitan),201,Aston
Box Hill High School,BOX HILL,57,89.4,98,32,11.8,45359,48381,8381,45359,Box Hill High School,BOX HILL,VIC,3128,Government,Secondary,0,School Single Entity,-37.82009053,145.1375387,0,Major Cities,20592450000,20703116311,207031163,Box Hill,20703,Whitehorse - West,207,Melbourne - Inner East,26980,Whitehorse,21102,Box Hill (North-Eastern Metropolitan),207,Chisholm
