OBJECTID,Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,Area in square kilometres,Uniform Resource Identifier,Personal income: Employee income earners (no.) (Data year: 2020),Personal income: Employee income earners: Median age (years) (Data year: 2020),Personal income: Total employee income ($m) (Data year: 2020),Personal income: Median employee income ($) (Data year: 2020),Personal income: Mean employee income ($) (Data year: 2020),Personal income: Employee income as main source of income (%) (Data year: 2020),Personal income: Own unincorporated business income earners (no.) (Data year: 2020),Personal income: Own unincorporated business income earners: Median age (years) (Data year: 2020),Personal income: Total own unincorporated business income ($m) (Data year: 2020),Personal income: Median own unincorporated business income ($) (Data year: 2020),Personal income: Mean own unincorporated business income ($) (Data year: 2020),Personal income: Own unincorporated business income as main source of income (%) (Data year: 2020),Personal income: Investment income earners (no.) (Data year: 2020),Personal income: Investment income earners: Median age (years) (Data year: 2020),Personal income: Total investment income ($m) (Data year: 2020),Personal income: Median investment income ($) (Data year: 2020),Personal income: Mean investment income ($) (Data year: 2020),Personal income: Investment income as main source of income (%) (Data year: 2020),Personal income: Superannuation and annuity income earners (no.) (Data year: 2020),Personal income: Superannuation and annuity income earners: Median age (years) (Data year: 2020),Personal income: Total superannuation and annuity income ($m) (Data year: 2020),Personal income: Median superannuation and annuity income ($) (Data year: 2020),Personal income: Mean superannuation and annuity income ($) (Data year: 2020),Personal income: Superannuation and annuity income as main source of income (%) (Data year: 2020),Personal income: Total income earners (excl. Government pensions and allowances)(no.) (Data year: 2020),Personal income: Total income earners (excl. Government pensions and allowances): Median age (years) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances) ($m) (Data year: 2020),Personal income: Median total income (excl. Government pensions and allowances) ($) (Data year: 2020),Personal income: Mean total income (excl. Government pensions and allowances) ($) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p80/P20 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p80/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p20/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p10/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Gini coefficient (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 1% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 5% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 10% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Lowest Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Second Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Third Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Highest Quartile (%) (Data year: 2020),Persons who reported gross capital gains (no.) (Data year: 2022),Total value of gross capital gains ($m) (Data year: 2022),Median value of gross capital gains ($) (Data year: 2022),Mean value of gross capital gains ($) (Data year: 2022),Total personal income: Persons earning $1-$499 per week (%) (Data year: 2021),Total personal income: Persons earning $500-$999 per week (%) (Data year: 2021),Total personal income: Persons earning $1000-$1999 per week (%) (Data year: 2021),Total personal income: Persons earning $2000-$2999 per week (%) (Data year: 2021),Total personal income: Persons earning $3000 or more per week (%) (Data year: 2021),Total personal income: Persons earning nil income (%) (Data year: 2021),Total personal income: Persons with a negative income (%) (Data year: 2021),Total personal income: Income inadequately described/not stated (%) (Data year: 2021),Median equivalised total household income (weekly) ($) (Data year: 2021),Equivalised total household income: $1-$499 per week (%) (Data year: 2021),Equivalised total household income: $500-$999 per week (%) (Data year: 2021),Equivalised total household income: $1000-$1999 per week (%) (Data year: 2021),Equivalised total household income: $2000-$2999 per week (%) (Data year: 2021),Equivalised total household income: $3000 or more per week (%) (Data year: 2021),Equivalised total household income: Nil income (%) (Data year: 2021),Equivalised total household income: Partial income stated (%) (Data year: 2021),Equivalised total household income: All incomes not stated (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
852,208031185,Carrum - Patterson Lakes,5.8242,https://linked.data.gov.au/dataset/asgsed3/SA2/208031185,6555,43,458.9,59641,70006,74.2,965,47,24.2,10456,25028,6.7,5444,48,85.3,215,15668,16.9,160,60,4.3,17912,26666,1.3,7433,46,547.2,56861,73615,4.94,1.85,0.38,0.15,0.48,11,22.7,33.5,22.9,23.2,25.2,28.8,919,58.5,3173,63625,21.9,21.5,28.6,9.4,5.4,7.7,0.7,4.6,1166,14.7,22.8,36.5,13.2,5,1.8,3.6,2.2,5906a783-6f4f-4e85-8b1e-3301a9d0f62a,0.000598056763465138,0.131113245790212
969,211041273,Vermont South,6.184,https://linked.data.gov.au/dataset/asgsed3/SA2/211041273,5932,42,389,51564,65569,67.3,956,48,22.9,11544,23967,6.4,6163,50,63.7,634,10332,23.6,184,69,5.6,27355,30249,1.5,7577,48,465.1,44218,61384,7.06,2.18,0.31,0.11,0.511,7.3,21.2,33.6,32.1,23.9,20.3,23.7,1363,69.3,3059,50815,25.2,21.1,23.4,7.7,5.1,11.3,0.6,5.6,1081,14.6,26.2,35.3,10.6,4.8,2.6,4.4,1.5,ccd2e8d5-4747-4770-8ff9-3f4b9d4df365,0.000633080464012892,0.13770265455163
975,211051279,Monbulk - Silvan,68.5553,https://linked.data.gov.au/dataset/asgsed3/SA2/211051279,3045,42,178.4,49450,58579,70.7,685,50,17.3,15695,25277,10.6,2568,48,32.4,231,12615,16.7,57,58,2,29028,35780,1.1,3567,46,218,49044,61113,4.64,1.85,0.4,0.17,0.457,6.5,19.4,30.8,25.4,28,24.7,22,414,26.3,3636,63546,23.6,24.6,27.1,6.6,4,8.1,0.5,5.5,1068,13.6,28.2,37.9,9.6,3.3,1.2,4.8,1.5,96067caf-58cf-495c-bbb7-537b03d24f44,0.0070192093166952,0.592750167048287
188,109031180,Corowa,77.1283,https://linked.data.gov.au/dataset/asgsed3/SA2/109031180,2734,45,144.8,48461,52968,74.5,482,55,7.1,9482,14694,7.4,2062,56,14.6,416,7089,16.4,93,59,2.2,16918,23365,1.4,3206,49,161.7,45929,50450,5.51,1.76,0.32,0.11,0.436,4.8,15.8,26.6,29.2,28.3,27.3,15.3,398,20.8,3626,52363,29.7,28.1,22.3,3.2,1.3,6.1,0.8,8.4,774,23.1,34.3,27.7,3.6,1.6,2,4,3.7,55e6622d-db23-4b93-85a1-39094b871aa3,0.00770879609035546,0.526923362544514
998,212021456,Narre Warren - South West,9.3054,https://linked.data.gov.au/dataset/asgsed3/SA2/212021456,7635,37,411.5,50181,53899,84.2,1163,38,21.8,13807,18786,8.5,4592,39,8.5,27,1841,5.9,124,57,3.5,15664,28388,1,8073,38,427,48646,52898,3.61,1.62,0.45,0.22,0.377,4.1,14.4,24.6,22.9,31.6,30.8,14.7,494,13.8,1535,28005,23.1,25,26.9,4,1.1,11.9,1,7.1,937,16.9,32.3,36.6,5.5,1.1,1.8,4.4,1.7,deb3654b-04fe-4faf-bd88-13f8188e1806,0.000954813401222054,0.162318701911176
1021,212041317,Springvale,11.1052,https://linked.data.gov.au/dataset/asgsed3/SA2/212041317,11707,33,511.2,38765,43665,81.1,2012,35,33,12524,16408,9.4,7112,36,20.3,42,2857,8.4,118,57,2.6,9972,22217,0.6,12348,35,542,38064,43894,4.36,1.74,0.4,0.19,0.426,4.9,16.7,27.7,33.6,33.9,22.7,9.9,953,32.3,1653,33917,29.1,27.2,18.7,2.5,0.9,13.4,1.1,7.1,782,23.5,33.6,27.9,3.9,0.9,3.3,5.3,1.7,42c9c2a0-c81e-4963-af59-c507ee0dbe26,0.00113833171644728,0.162186320853148
898,209041437,Wollert,53.892,https://linked.data.gov.au/dataset/asgsed3/SA2/209041437,9157,35,544.9,54500,59505,83.5,1776,35,32.1,14301,18062,10.5,5631,36,13.5,16,2402,5.1,91,44,2.4,10000,26057,0.5,10039,35,580.9,51609,57862,3.81,1.68,0.44,0.25,0.383,4.2,14.6,24.9,21.9,28.7,29.9,19.5,833,28.4,1896,34066,17.9,24.9,31.8,5.7,1.5,11.8,1.2,5.2,1045,12.8,30.1,42.4,6.5,1.2,1.6,3.8,1.5,e8bca476-7165-4510-990b-c7801810051a,0.00549787830414061,0.362160837235531
1144,216021412,Moira,1498.8283,https://linked.data.gov.au/dataset/asgsed3/SA2/216021412,1346,43,68.7,45343,51040,68.5,487,55,8.2,8009,16919,14.8,1055,52,7.8,251,7355,14.6,46,59,1,10000,21610,1.7,1639,49,82.4,42266,50265,5.6,1.9,0.34,0.1,0.509,6,19,30.8,31.9,28.3,23.3,16.5,163,7.3,3142,45088,27.9,25.4,23.5,3.2,2.2,6.5,1,10.2,842,23.3,29.7,29.6,4.9,2.9,1.2,5.9,2.9,ce861843-85f0-43c1-8395-61846b78acc8,0.150091792868807,2.63416622784747
706,204011057,Mansfield (Vic.),3927.8774,https://linked.data.gov.au/dataset/asgsed3/SA2/204011057,4547,43,223,40148,49049,65.6,1484,53,22.3,8132,15009,13.2,3940,53,46,376,11685,18.6,154,60,4.5,19169,29042,1.8,5549,50,284.1,40256,51198,5.48,1.93,0.35,0.13,0.489,7.2,20.6,32.3,32.3,29.1,22.9,15.6,828,48.4,5362,58435,25.3,25,23.4,4.8,3.5,6,1.1,10.9,885,19.7,29.8,30.4,5.7,3.2,2.1,6.3,2.5,04c4c89d-b8fe-44c5-bbe3-55b5464d2b63,0.398650333082514,4.05973867741804
1098,213051589,Wyndham Vale - North,51.2497,https://linked.data.gov.au/dataset/asgsed3/SA2/213051589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,7.9,782,29732,17.7,23.2,31,6.3,1.7,11.7,0.6,8,1048,12.1,30.5,39.9,7.7,1.5,1.1,5.7,1.2,ebd16415-2688-4255-b437-1c964f2e880c,0.00524465737726132,0.519074493377962
1061,213031349,Maribyrnong,5.4934,https://linked.data.gov.au/dataset/asgsed3/SA2/213031349,8228,35,548.7,56448,66682,82,1224,38,29.7,10500,24273,6.5,6169,39,45.5,95,7379,10.3,118,58,3.5,21312,29538,0.8,8578,37,587.3,55346,68471,4.72,1.84,0.39,0.19,0.452,7.2,19.7,30.8,23.1,24.1,26.4,26.3,1070,57.1,2470,53331,19.1,19.7,30.7,10,6.3,9.2,0.5,4.5,1311,10.9,20.3,39.7,15.5,7.4,1.8,3.6,0.9,0fc1c243-d62d-4358-b3d4-7aba090f8cbe,0.000561749089229124,0.13208820049666
766,206021500,Northcote - West,2.6316,https://linked.data.gov.au/dataset/asgsed3/SA2/206021500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,75.2,1794,65097,16.9,17.4,31,12.8,11.2,6.3,0.2,4.2,1585,10,15.6,34.6,21.1,12.1,1.2,4.5,0.8,bc72c424-70e7-4a1c-a132-aa75ca64b577,0.000269089513494691,0.0856092360144577
660,201031014,Beaufort,1863.0431,https://linked.data.gov.au/dataset/asgsed3/SA2/201031014,1914,44,101.4,47106,52964,72.8,578,55,7.4,3720,12800,11.7,1456,51,9.9,168,6831,13.2,55,56,1.3,10000,24030,1.5,2261,48,115.2,43576,50951,5.52,1.87,0.34,0.11,0.483,5.5,18,29.4,31.1,27,25,16.9,211,17.2,3689,81473,28.1,22.4,20.6,3.4,1.8,5.4,0.9,17.7,788,23.8,31.7,26.8,5.1,1.8,1.5,5.3,3.4,538e5cd1-819d-417b-b324-3dbb41e1be95,0.189824044831312,2.75128939718382
1004,212031306,Lynbrook - Lyndhurst,7.3583,https://linked.data.gov.au/dataset/asgsed3/SA2/212031306,9383,38,573.8,55573,61153,85.8,1504,38,28.1,13290,18652,8.5,5954,40,5.8,13,970,4.8,96,53,2.1,10000,21735,0.5,9931,39,591.6,53459,59569,3.84,1.68,0.44,0.24,0.384,4.1,14.5,24.9,21.3,27.6,29.7,21.4,749,22.1,1770,29489,18,21.1,31.5,6.8,2.5,13.5,1.1,5.5,1153,9.4,26,45.9,9.5,2,1.2,5,1,e1fba84d-48ac-451e-b8bb-4c79a938dd73,0.000755393136842031,0.134285719406817
906,210011227,Essendon Airport,3.3549,https://linked.data.gov.au/dataset/asgsed3/SA2/210011227,15,45,0.9,56561,62365,57.1,,,,,,,13,48,0.2,,13757,42.9,,,,,,,23,51,1.4,39293,60219,,,,,,,,,,,,,,,,,,38.5,,30.8,,,,38.5,,,,,,,,,,6fbee75e-1668-4214-8172-697bae7f2e64,0.000342874742273125,0.0943964579680384
1015,212031562,Hampton Park - West,5.1234,https://linked.data.gov.au/dataset/asgsed3/SA2/212031562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,8.4,1330,27249,24.5,26.1,23.9,2.2,0.7,13.4,1.5,7.6,821,20.2,35.6,31.3,3.3,0.5,2.1,5.2,1.9,06826b8d-2a40-4eee-86c1-f4d0e5151e4a,0.000525758024195966,0.091028453436791
1052,213011570,Derrimut,13.2579,https://linked.data.gov.au/dataset/asgsed3/SA2/213011570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,9.4,2503,26042,18,21.4,30.8,6.6,2.5,13.9,1.1,5.6,1112,10.7,28.3,42.3,8.3,2.2,1.4,5.5,1.2,72a7e576-f1ab-43da-8e3f-d8a5768b096a,0.00135623896403558,0.177982802730362
720,204031071,Myrtleford,553.3639,https://linked.data.gov.au/dataset/asgsed3/SA2/204031071,2512,44,125.2,44117,49849,74.6,673,55,10.2,7534,15142,11.3,1930,52,15.2,192,7854,12.3,62,56,1.4,9875,21921,0.8,2848,49,146.8,43534,51543,4.66,1.83,0.39,0.15,0.446,6.1,17.9,28.9,27.8,31.7,24.8,15.6,298,13.5,3452,45404,29.9,28.6,23,4,1.8,4.5,0.9,7.4,829,22.5,32.5,29.6,4.5,2.3,1.7,4.2,2.6,0f70270f-2b6e-4eba-a7d1-b6dee8d17ea5,0.055697682571008,1.4546007199094
958,211031265,Croydon Hills - Warranwood,9.492,https://linked.data.gov.au/dataset/asgsed3/SA2/211031265,10586,42,747.8,58659,70637,79.6,1335,46,30.5,10287,22859,5.3,8702,47,69,169,7926,13.2,234,60,8.8,25099,37582,1.2,11668,45,818.3,56783,70135,4.83,1.9,0.39,0.17,0.442,5.8,17.8,29.1,22.2,24.1,24.2,29.5,1476,56.8,2222,38511,20.9,21.3,27.6,10.7,6.4,8.8,0.4,4,1316,9.5,21.9,40.6,14.9,5.4,1.5,4.9,1.3,a7484177-6072-4972-9421-0a58b35cbd5e,0.000970697398770426,0.152975315155403
858,208031191,Moorabbin - Heatherton,11.6997,https://linked.data.gov.au/dataset/asgsed3/SA2/208031191,5081,41,364.8,59749,71795,77.9,789,45,20,12698,25384,7.1,4144,44,29.6,181,7137,13.1,108,63,2.8,16465,26194,1.1,5649,43,394.3,56002,69803,5.16,1.92,0.37,0.16,0.455,6,18.7,30.2,23.6,23.6,24.4,28.4,758,20.4,2481,26937,21.2,19.7,28.1,9.5,6.7,8.3,0.6,5.9,1202,13.6,22.5,36,14.3,6.1,1.9,4.2,1.4,a826a67a-86d8-4756-8dc0-41a2177de035,0.00119931100653048,0.210575957079812
912,210021232,Gisborne,211.057,https://linked.data.gov.au/dataset/asgsed3/SA2/210021232,7321,42,550.8,62628,75241,74.8,1151,47,22.4,8547,19428,6.6,6202,47,69,213,11133,16.4,220,62,7.3,26326,32979,1.7,8397,45,622.5,59654,74138,5.38,1.93,0.36,0.15,0.461,6.3,18.5,30,22.7,22.1,22.6,32.6,1116,61.2,3568,54866,19.6,19.7,26.6,11,7.6,9.2,0.5,5.8,1294,10.5,20.9,38.9,15.2,6.3,1.5,5.3,1.5,bbf8e69c-162c-45e2-a7e5-99ee4b7c8af2,0.0215040689608941,0.891196585412214
666,202011020,East Bendigo - Kennington,17.1489,https://linked.data.gov.au/dataset/asgsed3/SA2/202011020,6869,40,416.7,52050,60666,72.8,895,50,27.5,12062,30779,5.4,5970,50,75.7,444,12673,19.6,251,61,6.1,20061,24193,1.8,8173,46,511.6,49879,62601,5.44,1.86,0.34,0.13,0.472,8.4,21.1,32.1,26.9,25.3,25.2,22.7,1159,50.1,3388,43209,25.9,26.3,25.8,6.4,3.5,5.3,0.5,6.2,964,17.4,30.4,33.5,8.5,3.3,1.4,3.8,1.9,f2c0d6c1-4699-45cb-b7b7-15f7feb11e98,0.00173047384760139,0.253675778071384
1155,217011422,Portland,63.985,https://linked.data.gov.au/dataset/asgsed3/SA2/217011422,5558,43,318.6,49936,57317,79.1,748,55,14,9084,18692,6.5,3843,51,22.9,128,5954,12.1,162,56,4.8,10606,29323,1.7,6106,47,348.5,47953,57067,5.5,1.89,0.34,0.13,0.449,6,17.2,28,28.1,25.5,24.9,21.4,620,26.4,4974,42514,30.8,26,21.1,5.5,1.6,6.1,0.8,7.7,802,23.4,31.7,27.6,5.6,1.8,1.8,5.2,2.9,cd76809f-2c5c-4555-bf0b-8cdf6ba24d37,0.00659338071363891,0.540918347529952
1107,214021377,Dromana,45.0575,https://linked.data.gov.au/dataset/asgsed3/SA2/214021377,5837,44,342,48406,58590,66.7,1185,50,25.6,12531,21562,8.8,5165,53,86.1,362,16665,21.7,206,60,6.2,19525,30320,1.6,7254,50,443.4,45157,61131,5.54,1.97,0.35,0.13,0.501,10.9,23.5,34.7,28.7,27.6,23,20.7,1027,113.1,4940,110098,26.5,24.5,23.6,5.9,3.7,6.2,0.9,8.7,931,18.2,29.6,31.4,7.6,4,2.2,4.3,2.6,44111798-4f2d-4841-bbad-f8e7b7f05aae,0.00464274106570883,0.388841123551783
812,207011149,Camberwell,7.2919,https://linked.data.gov.au/dataset/asgsed3/SA2/207011149,11458,40,1066,62488,93036,64.1,1937,49,134.9,13421,69623,6,12253,49,307.6,,25101,27.3,353,70,14.1,27969,40017,1.4,14456,47,1490.8,61715,103130,7.75,2.35,0.3,0.12,0.583,13.2,30.5,43,25.6,19.3,17.7,37.4,3499,305.6,4454,87348,19.2,16.7,23.9,9.9,15.4,9.8,0.5,4.6,1604,9.3,16.9,31.1,19.9,15.2,2,4.5,1.3,b0ba69d0-6c81-4e51-a732-04e2b5d03cab,0.000746310433441977,0.13662523195631
795,206051514,St Kilda - West,2.3637,https://linked.data.gov.au/dataset/asgsed3/SA2/206051514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493,107.2,2621,71827,12.3,17.7,31.3,11.4,9.7,5,0.3,12.3,1506,9.6,17,36.8,17.6,12.1,2.4,3.2,1.3,1969bfc4-9e8c-456f-8c95-babacc80ca4c,0.00024201244877986,0.086601096547313
961,211031268,Ringwood North,4.7307,https://linked.data.gov.au/dataset/asgsed3/SA2/211031268,5271,43,378.4,59715,71782,75.2,720,46,16.8,10110,23352,5.8,4665,48,47.5,313,10172,16.9,128,61,3.6,24035,28131,1.3,6107,46,429.6,55931,70353,5.76,1.95,0.34,0.14,0.469,6.4,19,30.7,25.1,22,23.5,29.4,910,36.7,2750,40380,22.3,21.2,26.7,10.1,7.2,9,0.4,3.1,1278,10.5,22.1,38.7,15.4,5.9,1.5,4.4,1.1,38d78625-4271-4f13-bf8f-7f0ef14a2d94,0.000483936517866823,0.115050716967513
1032,212051323,Mount Waverley - North,6.484,https://linked.data.gov.au/dataset/asgsed3/SA2/212051323,8243,40,565.3,53598,68579,68.1,1348,45,37.5,10998,27790,6.3,8424,47,95.3,532,11308,23.1,224,70,8.3,32142,36842,1.4,10309,45,685.6,47156,66505,7.16,2.21,0.31,0.1,0.519,7.9,21.9,34.3,30.6,23.1,19.3,27,1953,97.9,2847,50116,23.4,19.4,24.4,9.1,7,11.9,0.6,4.1,1175,15,22.2,34.9,13.2,6.4,2.3,5,1.1,6bb5e0e6-fe11-474c-8352-cffcae6fcc83,0.000663889075894986,0.109877371911434
938,210051445,Mickleham - Yuroke,70.8359,https://linked.data.gov.au/dataset/asgsed3/SA2/210051445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,72.7,2105,93644,16.9,24.1,32.8,5.4,1.6,11.5,0.9,6.7,1054,11.2,32,41.5,7.5,1.7,1,4.2,1,c7062aaa-62d9-4964-a06d-6a7a2e897da4,0.00722196609331149,0.537760871003906
889,209041221,Mill Park - South,4.9298,https://linked.data.gov.au/dataset/asgsed3/SA2/209041221,6224,39,359.7,52724,57796,82,810,41,15.4,10913,19066,6.7,4439,43,14.4,101,3253,9.6,117,59,3.1,15608,26136,1,6674,41,373.9,50090,56023,4.19,1.69,0.4,0.18,0.404,4.5,15.3,26,24.5,27.9,29.3,18.4,547,26.4,2274,48251,26.5,23.5,26.8,5.1,1.5,10.8,0.8,4.9,965,17.6,29.2,37.1,6.8,1.4,2.4,4.5,1.4,659d10aa-0763-4ad5-889b-ef3b9724dddb,0.000503474209835986,0.148174359872921
746,205041096,Morwell,85.4861,https://linked.data.gov.au/dataset/asgsed3/SA2/205041096,5781,40,295.7,44821,51152,81.7,547,48,10.1,9866,18428,5.1,3419,49,18.2,89,5337,11,176,54,3.6,9956,20436,1.8,6105,44,313.6,43803,51371,5.03,1.77,0.35,0.13,0.442,5.2,17.6,28.8,29.3,30.4,24.5,15.8,451,16.9,5162,37461,34.2,24.5,16,2.7,1.4,6.7,0.9,13.7,637,31.2,32.3,21.2,3.2,1.4,2.3,4.1,4.3,ed93922b-1355-4aa9-8605-a80df58409e3,0.00879307505374527,0.586370653961772
1101,214011371,Frankston,11.6244,https://linked.data.gov.au/dataset/asgsed3/SA2/214011371,12302,38,711.5,51875,57834,81.1,1671,44,36.6,12636,21919,6.9,8073,43,34.7,57,4298,9.6,336,58,8.4,14852,25038,1.7,13087,41,745.6,50097,56974,4.47,1.75,0.39,0.18,0.415,4.7,15.8,26.5,24.7,27.7,27.9,19.7,1137,39.8,2082,34981,24,25.1,26.5,6.1,2.1,6.6,0.7,8.9,952,18,30,34.9,7.4,2.1,1.7,3.9,2.1,613a3236-b236-490d-8abd-a851d06e48e2,0.00119489313283339,0.177153605087499
769,206031116,Moonee Ponds,4.3551,https://linked.data.gov.au/dataset/asgsed3/SA2/206031116,9904,37,811.4,64575,81923,78.8,1293,41,42.1,10001,32566,5.5,8242,41,101.1,255,12272,13.7,216,61,7.5,26437,34707,1.2,10685,39,916.2,64710,85745,5.05,1.88,0.37,0.18,0.485,10.5,23.4,34.5,20.6,20.8,23.5,35,1674,107.6,2597,64260,19,17.5,29.9,11.9,10,7.1,0.4,4.2,1456,11.1,17.3,35.8,18.7,10.6,1.8,3.4,1.2,9f60a86a-7380-485c-9c68-68d151df859e,0.000445357170519856,0.114523488147993
869,209011202,Montmorency - Briar Hill,12.0278,https://linked.data.gov.au/dataset/asgsed3/SA2/209011202,8788,42,652.1,62883,74201,74.1,1330,46,38.1,11706,28663,6.5,7689,47,92.9,309,12084,16.9,280,65,9.7,29450,34594,1.8,10092,45,750.2,60259,74338,4.95,1.83,0.37,0.15,0.459,7.5,19.9,31,22.2,21.4,24.9,31.6,1430,65.2,2608,45622,20.3,20.8,29,10.8,6.7,7.1,1.2,4.1,1270,11.1,22.9,39,14.8,5.6,1.5,3.8,1.4,80672a52-622e-4e9d-967b-ec11d4e277b6,0.00122927813345086,0.222768613395643
703,204011054,Alexandra,2118.9554,https://linked.data.gov.au/dataset/asgsed3/SA2/204011054,3003,45,153.4,44033,51099,67,952,56,11.7,6790,12338,12.7,2586,55,26.5,294,10264,17.7,118,59,3.6,22080,30718,1.8,3735,51,185.6,40199,49695,6.37,1.93,0.3,0.09,0.512,9,21.9,33.2,32.6,30.2,22.9,14.3,470,36.6,5675,77856,28.5,26.5,21.9,3.4,2.6,6.3,1,9.8,779,22.9,31.4,27,4.2,2.7,2.9,5.6,3.3,877bcb15-a01f-44c3-bdd7-ae1a83a24c60,0.215394595241378,3.44922984103613
1124,215011393,West Wimmera,5686.3869,https://linked.data.gov.au/dataset/asgsed3/SA2/215011393,1134,44,53.5,41785,47149,56.1,774,57,37.8,22194,48790,29.6,1189,53,10.1,648,8487,13.5,36,56,0.7,4913,19989,0.6,1587,51,99.6,46649,62751,6.25,1.97,0.32,0.1,0.564,10.3,26.8,38.3,29.3,26,22.7,22,185,14.9,2397,80523,26.1,24.8,20.9,4.5,3.1,6.1,0.8,13.3,790,24.5,28.4,25.2,5.7,4,2.4,4.8,5.4,096cc294-c522-459a-b9e7-36dca8e1ebbb,0.575300466159661,4.39152906869609
846,208021181,Murrumbeena,2.5148,https://linked.data.gov.au/dataset/asgsed3/SA2/208021181,5642,38,422.6,60646,74907,78.6,805,43,18.3,10672,22729,6.2,4714,42,41.3,262,8766,13.6,115,60,3.9,24578,34213,1.1,6205,41,462.1,58008,74474,5.39,1.95,0.36,0.17,0.474,7,20,31.8,23.6,22.1,22.8,31.5,1037,46.3,2536,44655,18.8,20,28.7,11.6,8.7,8.2,0.3,3.9,1361,10.9,20,37.3,16.8,8.4,2,3.6,1,548f8ef4-98d7-4911-a16e-6f096c2de19d,0.000257594135746331,0.0722012876875484
752,205051101,Maffra,2532.3197,https://linked.data.gov.au/dataset/asgsed3/SA2/205051101,6987,40,406.9,49849,58240,75.3,1787,52,13.3,3807,7446,10.1,5160,49,32.7,95,6340,12.9,195,59,5.4,19692,27701,1.3,8024,45,442.9,46559,55193,5.42,1.88,0.35,0.12,0.483,5.9,18.8,30.2,28.4,26.8,25.1,19.7,834,55.6,5323,66654,28.2,24.9,23.2,4.7,2.3,7.2,1,8.6,859,21.5,30.9,30,5.4,2,1.9,5.7,2.4,75afca68-675a-4d14-9410-4bfa6fca5118,0.259204905354181,3.17935572029624
677,202021031,Woodend,211.8678,https://linked.data.gov.au/dataset/asgsed3/SA2/202021031,3852,45,301.1,60483,78170,72.5,817,50,15.6,7872,19074,8.4,3292,49,34.4,265,10458,16.4,136,60,5.3,26068,38603,1.6,4491,48,340.1,55926,75719,5.75,2.03,0.35,0.15,0.493,7.3,21,33.1,24.4,22.9,21.2,31.5,695,42.7,3962,61446,21.2,20.6,23.8,10.1,9.1,8.9,0.7,5.7,1265,11.8,23.6,34.5,13.9,8,2,5.4,1.1,b5dd0166-b07d-46b2-9cc1-52b7abf79ff8,0.0215474474143775,0.985555440752878
775,206041120,Flemington Racecourse,1.7093,https://linked.data.gov.au/dataset/asgsed3/SA2/206041120,77,32,5,57549,65561,93.4,15,28,0.1,2854,5092,6.6,,,,,,,,,,,,,73,32,4.8,57275,65818,,,,,,,,,25,21.1,26.3,27.6,,,,,12.8,17.9,39.7,15.4,5.1,3.8,,,1792,,,47.1,29.4,11.8,,,,4ba3ad19-0695-4c95-be12-f4a5cfc827cd,0.00017482844668848,0.0539188908132967
726,205011076,Drouin,326.806,https://linked.data.gov.au/dataset/asgsed3/SA2/205011076,8859,39,500,50310,56435,76.8,1805,50,37.1,10632,20558,9.4,6320,46,40.6,77,6422,12.1,237,58,6,10726,25484,1.2,10089,43,560.3,48380,55533,4.45,1.77,0.4,0.16,0.427,5.3,16.8,27.6,25.8,28.5,27.1,18.6,888,41.2,4507,46422,26.8,26.3,25,4.8,2,7.1,0.7,7.2,896,18.5,32.2,33.2,5.3,1.8,1.8,4.6,2.5,74d711cf-b455-4d35-beae-4ca5e94757fc,0.0335828341458182,1.18534172434051
789,206051129,Elwood,2.553,https://linked.data.gov.au/dataset/asgsed3/SA2/206051129,10389,37,895.1,67564,86160,77.4,1922,42,72.1,11665,37522,8,8331,41,135.4,282,16252,13.1,176,59,4.8,16972,26995,0.8,10915,39,1044.7,70277,95713,4.53,1.86,0.41,0.21,0.487,10.1,24.8,35.8,17.6,19.3,24.4,38.8,1797,146.5,3113,81548,13.3,15.8,31.9,13.4,13.7,4.8,0.3,6.8,1641,8.4,15.1,35.6,20,14.9,1.3,3.6,1,fc765dd5-0d0e-4b69-b193-48dad40bb559,0.00026151244810535,0.0726032462727044
